tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,
9,590,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.8882,5.37713,6.9061,-3.93405,1,1,1,1,,,,,,
9,591,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.52517,5.03735,6.5411,-3.75317,1,1,1,1,,,,,,
9,592,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.64898,5.06339,6.66535,-3.74342,1,1,1,1,,,,,,
10,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,13.4151,-11.7359,-13.3871,11.6597,1,1,1,1,,,,,,
10,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
10,593,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.77884,5.7648,6.79719,-4.28521,1,1,1,1,,,,,,
10,594,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.63678,5.97317,6.65526,-4.48349,1,1,1,1,,,,,,
11,5,1,1,1,0,0.00006,0.001267,0.089923,0,0,0,0,0,0,0,0,0,0,0,0,-2.0372,25.8845,2.05285,-25.784,1,1,1,1,,,,,,
11,5,1,1,1,0,0.000059,0.001266,0.092301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
11,242,1,1,1,0,0.000232,0.003765,0.237959,0,0,0,0,0,0,0,0,0,0,0,0,-5.10859,17.5995,5.13996,-17.688,1,1,1,1,,,,,,
11,242,1,1,1,0,0.000236,0.003788,0.234063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
11,2168,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00401699,1.86103,0.00428487,-1.85835,1,1,1,1,,,,,,
11,2169,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00401699,1.86103,0.00428487,-1.85835,1,1,1,1,,,,,,
12,11,1,1,1,0,0.00048,0.009773,0.561815,0,0,0,0,0,0,0,0,0,0,0,0,14.9287,-12.8344,-14.859,12.9118,1,1,1,1,,,,,,
12,11,1,1,1,0,0.00041,0.009021,0.570427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
12,602,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.12474,4.25776,5.13525,-3.41321,1,1,1,1,,,,,,
12,603,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.14225,4.31691,5.15292,-3.45929,1,1,1,1,,,,,,
12,604,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.66296,4.26076,4.67241,-3.50171,1,1,1,1,,,,,,
13,14,1,1,1,0,0.001844,0.010714,0.00968,0,0,0,0,0,0,0,0,0,0,0,0,0.888124,0.0658427,-0.886772,-0.0684482,1,1,1,1,,,,,,
13,419,1,1,1,0,0.002908,0.016151,0.016619,0,0,0,0,0,0,0,0,0,0,0,0,-0.650082,-0.140105,0.650663,0.107187,1,1,1,1,,,,,,
13,419,1,1,1,0,0.002847,0.016171,0.016735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
