tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
222,714,四川.福堂坝厂.220.831,四川.福堂坝厂/1#变压器,1,1,1,0.002586,0.122273,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.898382,-0.303447,0.901046,0.321078,1,1,1,1
222,715,四川.福堂坝厂.220.831,四川.福堂坝厂/2#变压器,1,1,1,0.00262,0.123,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.898421,-0.294555,0.901106,0.311746,1,1,1,1
222,716,四川.福堂坝厂.220.831,四川.福堂坝厂/3#变压器,1,1,1,0.002605,0.120909,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.902837,-0.283239,0.905516,0.30081,1,1,1,1
222,717,四川.福堂坝厂.220.831,四川.福堂坝厂/4#变压器,1,1,1,0.002625,0.121273,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.885698,-0.285995,0.888306,0.299374,1,1,1,1
223,190,四川.群文.220.4029,四川.高群线,1,1,0,0.001684,0.009299,0.009717,0,0,0,0,0,0,0,0,0,0,0,0,-0.084853,0.289667,0.0850389,-0.296483,1,1,1,1
223,1641,四川.群文.220.4029,四川.群文/2#变压器,1,1,1,0.010078,0.356,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,0.0848546,-0.289666,-0.0845384,-0.0183675,1,1,1,1
224,103,四川.岩神山.220.3730,四川.马岩线,1,1,0,0.000974,0.005675,0.035381,0,0,0,0,0,0,0,0,0,0,0,0,-0.395018,0.422056,0.395387,-0.424923,1,1,1,1
224,337,四川.岩神山.220.3730,四川.岩庄一线,1,1,0,0.003016,0.02293,0.041427,0,0,0,0,0,0,0,0,0,0,0,0,0.674851,-0.207385,-0.67403,0.173023,1,1,1,1
224,337,四川.岩神山.220.3730,四川.岩庄二线,1,1,0,0.002924,0.022922,0.041136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
224,1666,四川.岩神山.220.3730,四川.岩神山/1#变压器_h,1,1,1,0.00103,0.080444,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.394909,-0.086253,-0.394725,0.0289803,1,1,0,0
224,1669,四川.岩神山.220.3730,四川.岩神山/2#变压器_h,1,1,1,0.001026,0.080639,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.394239,-0.0846494,-0.394056,0.0271845,1,1,0,0
225,224,四川.攀煤电厂.220.1971,四川.攀岩二线,1,1,0,0.003864,0.021528,0.014417,0,0,0,0,0,0,0,0,0,0,0,0,-0.00305471,0.135979,0.00310679,-0.17391,1,1,1,1
225,224,四川.攀煤电厂.220.1971,四川.攀岩一线,1,1,0,0.003836,0.021506,0.01288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
225,788,四川.攀煤电厂.220.1971,四川.攀煤电厂/11#变压器_h,1,1,1,0.002306,0.090397,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.00305472,-0.13598,-0.00303093,0.0556874,1,1,0,0
226,227,四川.东坡.500.690,四川.布坡二线,1,1,0,0.001188,0.017919,1.033459,0,0,0,0,0,0,0,0,0,0,0,0,-26.0818,-7.96246,26.3902,12.6871,1,1,1,1
226,227,四川.东坡.500.690,四川.布坡三线,1,1,0,0.001167,0.018616,1.012548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
226,227,四川.东坡.500.690,四川.布坡四线,1,1,0,0.001169,0.01826,1.031978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
226,227,四川.东坡.500.690,四川.布坡一线,1,1,0,0.001187,0.01828,1.026568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
226,336,四川.东坡.500.690,四川.坡彭二线,1,1,0,0.000276,0.00405,0.22779,0,0,0,0,0,0,0,0,0,0,0,0,18.5373,1.0182,-18.4717,-0.038276,1,1,1,1
226,336,四川.东坡.500.690,四川.坡彭一线,1,1,0,0.000264,0.004071,0.226102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
226,900,四川.东坡.500.690,四川.东坡/1#变压器_h,1,1,1,0.000073,0.017853,0,0,0,0,0,0,1,0,0,0,0,0,0,3.44196,-0.34752,-3.44073,0.635537,1,1,0,0
226,901,四川.东坡.500.690,四川.东坡/2#变压器_h,1,1,1,0.000088,0.017773,0,0,0,0,0,0,1,0,0,0,0,0,0,3.46733,-0.390648,-3.46582,0.682535,1,1,0,0
227,842,四川.瀑布沟厂.500.3420,四川.瀑布沟厂/1#变压器,1,1,1,0.000295,0.023598,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.206972,-2.44501,0.209122,2.59623,1,1,1,1
227,843,四川.瀑布沟厂.500.3420,四川.瀑布沟厂/2#变压器,1,1,1,0.000294,0.023658,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-5.39763,-1.73654,5.40915,2.6428,1,1,1,1
227,844,四川.瀑布沟厂.500.3420,四川.瀑布沟厂/3#变压器,1,1,1,0.000293,0.023808,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.129662,-2.40725,0.131723,2.55376,1,1,1,1
227,845,四川.瀑布沟厂.500.3420,四川.瀑布沟厂/4#变压器,1,1,1,0.000292,0.023718,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-5.90035,-1.48949,5.91353,2.53957,1,1,1,1
227,846,四川.瀑布沟厂.500.3420,四川.瀑布沟厂/5#变压器,1,1,1,0.000291,0.023658,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.187392,-2.41158,0.189452,2.55831,1,1,1,1
227,847,四川.瀑布沟厂.500.3420,四川.瀑布沟厂/6#变压器,1,1,1,0.000291,0.023808,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-4.57635,-1.78024,4.5849,2.45881,1,1,1,1
228,229,四川.康定.220.3755,四川.巴定线,1,1,0,0.003424,0.028008,0.051053,0,0,0,0,0,0,0,0,0,0,0,0,-0.989795,-0.594249,0.995306,0.615792,1,1,1,1
228,957,四川.康定.220.3755,四川.康定/1#变压器_m,1,1,1,0.000035,-0.00205,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,2.39572,2.30902,-2.39525,-2.33501,1,1,0,0
228,959,四川.康定.220.3755,四川.康定/2#变压器_m,1,1,1,0.000065,-0.00119,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,2.43133,2.21499,-2.43048,-2.22971,1,1,0,0
229,848,四川.巴郎口厂.220.3409,四川.巴郎口厂/1#变压器,1,1,1,0.005261,0.205395,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.350286,-0.198121,0.351109,0.0478559,1,1,1,1
229,849,四川.巴郎口厂.220.3409,四川.巴郎口厂/2#变压器,1,1,1,0.004951,0.205395,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.322859,-0.199183,0.32353,0.0446642,1,1,1,1
230,231,四川.联补厂.220.18942,四川.地联线,1,1,0,0.002659,0.013759,0.013687,0,0,0,0,0,0,0,0,0,0,0,0,-0.326592,-0.170887,0.327021,0.161626,1,1,1,1
231,850,四川.地洛厂.220.3417,四川.地洛厂/1#变压器,1,1,1,0.00521,0.208571,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.327019,-0.161621,0.327719,0.0107775,1,1,1,1
232,1660,四川.范家湾.220.3737,四川.范家湾/1#变压器_h,1,1,1,0.000884,0.097633,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.875469,-0.0558694,-0.874703,0.0535086,1,1,0,0
232,1663,四川.范家湾.220.3737,四川.范家湾/2#变压器_h,1,1,1,0.00124,0.095365,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.87025,-0.058248,-0.869189,0.0549948,1,1,0,0
233,234,四川.会理.220.3784,四川.理会一线,1,1,0,0.009122,0.048994,0.04651,0,0,0,0,0,0,0,0,0,0,0,0,-0.13511,-0.351688,0.135636,0.262781,1,1,1,1
233,234,四川.会理.220.3784,四川.理会二线,1,1,0,0.008513,0.048012,0.046261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
233,1672,四川.会理.220.3784,四川.会理/1#变压器_h,1,1,1,0.000964,0.083166,0,0,0,0,0,0,1.040217,0,0,0,0,0,0,0.185389,-0.136811,-0.185344,0.0619962,1,1,0,0
233,1675,四川.会理.220.3784,四川.会理/2#变压器_h,1,1,1,0.000983,0.083195,0,0,0,0,0,0,1.040217,0,0,0,0,0,0,0.190927,-0.14239,-0.190878,0.0677934,1,1,0,0
234,434,四川.会东.220.1171,四川.会家一线,1,1,0,0.009312,0.048045,0.0453,0,0,0,0,0,0,0,0,0,0,0,0,-0.0629756,0.0889221,0.06309,-0.180065,1,1,1,1
234,434,四川.会东.220.1171,四川.会家二线,1,1,0,0.01041,0.048335,0.045031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
234,1511,四川.会东.220.1171,四川.会东/1#变压器_h,1,1,1,0.001777,0.104631,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,-0.0153969,0.00489189,0.015403,-0.103802,1,1,0,0
234,2726,四川.会东.220.1171,四川.会东/2#变压器_h,1,1,1,0.001053,0.081493,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,-0.0221435,0.0608064,0.022155,-0.137036,1,1,0,0
235,233,四川.永郎.220.3028,四川.永理一线,1,1,0,0.009872,0.054599,0.052282,0,0,0,0,0,0,0,0,0,0,0,0,0.243785,-0.70206,-0.241204,0.630892,1,1,1,1
235,233,四川.永郎.220.3028,四川.永理二线,1,1,0,0.008713,0.034853,0.052116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
235,1798,四川.永郎.220.3028,四川.永郎/1#变压器_h,1,1,1,0.001175,0.098696,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,-0.0450947,-0.0911178,0.0451,0.00108277,1,1,0,0
235,1801,四川.永郎.220.3028,四川.永郎/2#变压器_h,1,1,1,0.001191,0.098365,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,-0.0475979,-0.0903756,0.0476035,0.000668476,1,1,0,0
236,206,四川.余家.220.3051,四川.余州二线,1,1,0,0.001633,0.019622,0.037731,0,0,0,0,0,0,0,0,0,0,0,0,-2.15231,0.387767,2.16091,-0.302217,1,1,1,1
236,210,四川.余家.220.3051,四川.余渠一线,1,1,0,0.004474,0.023155,0.023692,0,0,0,0,0,0,0,0,0,0,0,0,0.472083,0.109609,-0.471697,-0.142124,1,1,1,1
236,210,四川.余家.220.3051,四川.余渠二线,1,1,0,0.0021,0.01534,0.027283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
236,618,四川.余家.220.3051,四川.余团一线,1,1,0,0.001295,0.007686,0.015199,0,0,0,0,0,0,0,0,0,0,0,0,0.177593,-0.377738,-0.177479,0.364412,1,1,1,1
236,618,四川.余家.220.3051,四川.余团二线,1,1,0,0.001161,0.00773,0.015199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
236,1301,四川.余家.220.3051,四川.余家/1#变压器_h,1,1,1,0.002183,0.123743,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.726764,-0.0581193,-0.725496,0.0170495,1,1,0,0
236,1304,四川.余家.220.3051,四川.余家/2#变压器_h,1,1,1,0.001715,0.122873,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.775869,-0.0615036,-0.774734,0.0305388,1,1,0,0
237,169,四川.天宫庙.220.3791,四川.云庙二线,1,1,0,0.004316,0.027418,0.048104,0,0,0,0,0,0,0,0,0,0,0,0,2.33425,0.756205,-2.31866,-0.701994,1,1,1,1
237,169,四川.天宫庙.220.3791,四川.云庙一线,1,1,0,0.004297,0.027444,0.047949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
237,1651,四川.天宫庙.220.3791,四川.天宫庙/1#变压器_h,1,1,1,0.001304,0.098599,0,0,0,0,0,0,1.0625,0,0,0,0,0,0,-0.570626,-0.100541,0.571139,0.0560081,1,1,0,0
237,1654,四川.天宫庙.220.3791,四川.天宫庙/2#变压器_h,1,1,1,0.001342,0.098431,0,0,0,0,0,0,1.0625,0,0,0,0,0,0,-0.576231,-0.100469,0.576769,0.0567639,1,1,0,0
238,135,四川.镇江.220.3142,四川.爱镇二线,1,1,0,0.001833,0.010371,0.019443,0,0,0,0,0,0,0,0,0,0,0,0,-0.570366,0.391163,0.570968,-0.402768,1,1,1,1
238,135,四川.镇江.220.3142,四川.爱镇一线,1,1,0,0.001789,0.01033,0.019235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
238,511,四川.镇江.220.3142,四川.镇通线,1,1,0,0.001695,0.006781,0.007476,0,0,0,0,0,0,0,0,0,0,0,0,0.000230275,-0.0211941,-0.000229459,0.0162574,1,1,1,1
238,559,四川.镇江.220.3142,四川.镇庙线,1,1,0,0.001567,0.00957,0.034385,0,0,0,0,0,0,0,0,0,0,0,0,0.692059,-0.24584,-0.690902,0.245922,1,1,1,1
