bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1725,0,1,1,1.00206,-14.2197,0,0,0,0,500,525,0,0,0,0,0,1.02618,-10.7837,-0.000287808,-0.000244828,1,0,0
2,4159,0,1,1,1.00254,-13.2212,-0.1126,-0.30439,0,0,500,525,0,0,0,18.6,0,1.02856,-9.83861,0.120844,0.303087,1,0,0
3,364,0,1,1,0.947546,-5.90159,-14.5558,6.94706,0,0,500,525,0,0,0,0,0,0.973621,-2.89475,14.5456,-6.94423,0,0,0
4,2286,0,1,1,1.00041,-12.5018,0,0,0,0,500,525,0,0,0,0,0,1.06101,-8.41491,-0.00135357,-2.48E-05,1,0,0
5,2,0,1,1,1.00148,-10.8882,0,0,0,0,500,525,0,0,0,18,0,1.08484,-7.26505,-0.00131645,8.20E-06,1,0,0
6,365,0,1,1,0.947271,-5.88039,-14.5928,6.97441,0,0,500,525,0,0,0,0,0,0.973357,-2.8748,14.5826,-6.97157,0,0,0
7,189,0,1,1,1.01524,-1.11093,0,0,0,0,500,525,0,0,0,0,0,1.03389,0.102541,-5.46E-05,1.32E-05,1,0,0
8,2496,0,1,1,1.01579,-2.026,0,0,0,0,500,525,0,0,0,0,0,1.03888,-0.7877,-0.00233694,8.68E-06,1,0,0
9,277,0,1,1,1.00145,-9.51388,0,0,0,0,500,525,0,0,0,0,0,1.07425,-6.04846,-0.000406483,5.18E-05,1,0,0
10,276,0,1,1,1.00182,-9.58203,0,0,0,0,500,525,0,0,0,0,0,1.07459,-6.10706,-0.00038541,4.99E-05,1,0,0
11,6186,0,1,1,0.999987,-10.6754,45.9219,19.7288,0,0,500,525,0,0,0,52,0,1.09063,-7.13356,-45.9173,-19.7276,1,0,0
12,286,0,1,1,0.998512,-1.99926,0,0,0,0,500,525,0,0,0,0,0,1.0438,0.585054,-0.00181144,-7.39E-05,1,0,0
13,943,0,1,1,0.997738,-15.8934,0,0,0,0,500,525,0,0,0,0,0,1.01481,-12.9417,-0.000536559,-0.000124198,1,0,0
14,359,0,1,1,0.996774,-12.898,-7.08436,-3.55756,0,0,500,525,0,0,0,-3.2876,0,1.02326,-10.6875,7.0824,3.55708,1,0,0
15,886,0,1,1,1.00153,-14.4616,0,0,0,0,500,525,0,0,0,-1.8,0,1.03504,-9.72192,-0.00180385,-4.80E-05,1,0,0
16,325,0,1,1,0.988682,-20.1234,8.67411,0.64805,0,0,500,525,0,0,0,0,0,1.03043,-12.3475,-8.67202,-0.648078,1,0,0
17,488,0,1,1,1.00272,-16.6578,-3.00E-05,1.00E-05,0,0,220,230,0,0,0,0,0,1.02266,-12.1888,3.12E-05,-1.22E-05,1,0,0
18,1588,0,1,1,1.00227,-17.0825,0,0,0,0,220,230,0,0,0,0,0,1.02248,-12.5739,-0.000188749,-2.62E-05,1,0,0
19,1906,0,1,1,1.0006,-16.1418,0,0,0,0,220,230,0,0,0,0,0,1.00838,-12.4413,0.000102846,-3.70E-05,1,0,0
20,499,0,1,1,1.002,-15.6929,0.00614,-0.09626,0,0,220,230,0,0,0,0,0,1.0093,-11.9922,-0.00627155,0.0962327,1,0,0
21,1921,0,1,1,1.00957,-2.69936,-0.3343,0.0234,0,0,220,230,0,0,0,0,0,1.00193,0.245459,0.334231,-0.0233961,1,0,0
22,2056,0,1,1,1.01081,-1.9379,0,0,0,0,220,230,0,0,0,0,0,1.00421,1.00799,2.77E-05,5.69E-06,1,0,0
23,1154,0,1,1,0.993527,-16.2028,0,0,0,0,500,525,0,0,0,0,0,1.01326,-13.1216,2.90E-05,1.84E-06,1,0,0
24,1296,0,1,1,0.996241,-16.567,0,0,0,0,500,525,0,0,0,0,0,1.01094,-13.327,0.000288076,-0.000187109,1,0,0
25,543,0,1,1,1.00291,-14.9332,0,0,0,0,220,230,0,0,0,0,0,1.00926,-11.2304,0.000339738,0.000120007,1,0,0
26,2146,0,1,1,1.00091,-16.0806,0,0,0,0,220,230,0,0,0,0,0,1.00876,-12.3823,-0.000326888,-4.07E-05,1,0,0
27,580,0,1,1,1.00383,-15.8504,0,0,0,0,220,230,0,0,0,0,0,1.01206,-12.1518,-0.000241305,2.38E-05,1,0,0
28,1767,0,1,1,0.997819,-17.1577,0,0,0,0,220,230,0,0,0,0,0,1.00914,-13.4123,-0.000439847,-4.44E-05,1,0,0
29,1374,0,1,1,0.994073,-15.4107,0,-0.01478,0,0,220,230,0,0,0,0,0,1.01856,-11.7578,-0.00030679,0.0147288,1,0,0
30,687,0,1,1,0.990322,-14.9979,0,-0.03401,0,0,220,230,0,0,0,0,0,1.01687,-11.3759,7.83E-05,0.0343285,1,0,0
31,1559,0,1,1,1.00195,-4.90408,0,0,0,0,220,230,0,0,0,0,0,0.997524,-1.6482,-0.00163996,-8.91E-05,1,0,0
32,555,0,1,1,1.0003,-3.93476,0,0,0,0,220,230,0,0,0,0,0,0.996235,-0.673922,4.06E-06,5.45E-06,1,0,0
33,1956,0,1,1,0.991487,-15.744,2.12818,0.73503,0,0,220,230,0,0,0,0,0,1.01576,-12.074,-2.12747,-0.734937,1,0,0
34,10910,0,1,1,0.986565,-15.5771,2.10436,0.53398,0,0,220,230,0,0,0,0,0,1.01316,-11.9246,-2.10363,-0.533922,1,0,0
35,10905,0,1,1,1.00753,-5.20552,0,0,0,0,500,525,0,0,0,0,0,1.0263,-0.143107,-0.000137397,1.66E-05,0,0,0
36,784,0,1,1,1.00731,1.96827,0,0,0,0,500,525,0,0,0,0,0,1.00822,6.60746,-0.000488607,3.13E-05,1,0,0
37,1517,0,1,1,1.00661,0.854482,0,0,0,0,500,525,0,0,0,0,0,1.00725,5.48179,-0.000451476,-6.51E-06,1,0,0
38,843,0,1,1,1.00245,-6.12746,-0.02509,0.15814,0,0,220,230,0,0,0,0,0,1.00035,-2.79644,0.0251374,-0.158106,1,0,0
39,1090,0,1,1,1.00006,-8.17958,0,0,0,0,220,230,0,0,0,0,0,0.997632,-4.86985,-0.000152624,-1.43E-05,1,0,0
40,846,0,1,1,1.00305,-7.6978,-0.02311,0.00553,0,0,220,230,0,0,0,0,0,1.00319,-4.3435,0.0232157,-0.00549554,1,0,0
41,1456,0,1,1,0.999025,-11.8283,0,0,0,0,220,230,0,0,0,0,0,1.00815,-8.3723,-0.000332816,-5.82E-06,1,0,0
42,1382,0,1,1,0.986612,-10.3569,0,0,0,0,220,230,0,0,0,0,0,1.05023,-6.79085,-0.000176314,-2.62E-06,1,0,0
43,10902,0,1,1,0.999246,0.878852,0,0,0,0,220,230,0,0,0,0,0,1.02146,4.01856,-2.70E-05,1.74E-05,0,0,0
44,3313,0,1,1,1.00196,-7.41501,0,0,0,0,220,230,0,0,0,0,0,1.0001,-4.06156,-2.70E-05,-6.85E-06,1,0,0
45,857,0,1,1,0.991633,-19.0902,0,0,0,0,220,230,0,0,0,0,0,1.01233,-15.968,6.19E-05,9.33E-07,1,0,0
46,623,0,1,1,0.991408,-19.0283,0,0,0,0,220,230,0,0,0,0,0,1.01251,-15.9145,-0.000548581,-4.76E-05,1,0,0
47,3091,0,1,1,0.997711,-15.8773,0,0,0,0,500,525,0,0,0,0,0,1.01471,-12.9258,1.09E-05,2.54E-05,1,0,0
48,1637,0,1,1,1.00599,-10.6341,0,0,0,0,220,230,0,0,0,0,0,1.01319,-7.00519,-0.000211782,1.19E-05,1,0,0
49,884,0,1,1,1.00847,-9.5114,0,0,0,0,220,230,0,0,0,0,0,1.01271,-5.86943,1.22E-05,4.42E-06,1,0,0
50,1754,0,1,1,0.993291,-16.2103,0,0,0,0,220,230,0,0,0,0,0,1.01608,-12.5067,8.18E-06,-2.92E-05,1,0,0
51,517,0,1,1,0.994547,-16.0866,0,0,0,0,220,230,0,0,0,0,0,1.01628,-12.3777,6.77E-05,7.01E-06,1,0,0
52,1000,0,1,1,1.00352,-21.2147,0,0,0,0,220,230,0,0,0,0,0,1.02244,-17.2618,-0.000106988,0.000539571,1,0,0
53,570,0,1,1,1.00315,-21.9867,0,0,0,0,220,230,0,0,0,0,0,1.02151,-18.0021,-0.00101574,-0.000136288,1,0,0
54,1959,0,1,1,0.998301,-22.0569,0,0,0,0,220,230,0,0,0,0,0,1.01636,-18.064,-0.000440634,-8.23E-05,1,0,0
55,1039,0,1,1,0.997575,-17.474,0,0,0,0,220,230,0,0,0,0,0,1.01205,-13.7256,0.000157766,4.35E-05,1,0,0
56,600,0,1,1,0.997298,-17.6756,0,0,0,0,220,230,0,0,0,0,0,1.01187,-13.9201,-0.000128183,3.71E-06,1,0,0
57,1177,0,1,1,0.995213,-11.8098,0,0,0,0,220,230,0,0,0,0,0,1.0433,-7.97129,-0.000141242,-1.98E-06,1,0,0
58,1031,0,1,1,0.992838,-13.2141,0,0,0,0,220,230,0,0,0,0,0,1.05087,-9.30119,-0.000111937,-1.22E-05,1,0,0
59,1233,0,1,1,0.998262,-12.8875,0,0,0,0,220,230,0,0,0,0,0,1.00012,-9.40962,-0.000700755,-8.80E-06,1,0,0
60,1028,0,1,1,1.00041,-12.2543,0,0,0,0,220,230,0,0,0,0,0,1.00126,-8.76644,3.44E-05,6.26E-06,1,0,0
61,3332,0,1,1,0.99711,-17.5475,0.13327,0.03236,0,0,220,230,0,0,0,0,0,1.01155,-13.7964,-0.13322,-0.0323581,0,0,0
62,3426,0,1,1,0.999994,-22.0977,0,-0.38131,0,0,220,230,0,0,0,0,0,1.03159,-18.1258,-0.000755326,0.381025,1,0,0
63,979,0,1,1,0.998893,-12.7437,0,0,0,0,220,230,0,0,0,0,0,1.00055,-9.26416,0.000108442,6.22E-06,1,0,0
64,3284,0,1,1,0.994074,-12.3108,0,0,0,0,220,230,0,0,0,0,0,0.997799,-8.84589,2.16E-05,1.72E-05,1,0,0
65,597,0,1,1,1.00633,-4.10641,0,0,0,0,220,230,0,0,0,0,0,1.00172,-0.840956,3.18E-05,5.79E-06,1,0,0
66,2213,0,1,1,1.00447,-8.57474,0,0,0,0,220,230,0,0,0,0,0,1.00133,-5.29624,-0.000311775,-1.63E-05,1,0,0
67,1157,0,1,1,0.984979,-20.1965,0,0,0,0,220,230,0,0,0,0,0,1.03639,-16.1798,-0.000967103,-9.56E-05,1,0,0
68,1131,0,1,1,1.00093,-13.0472,0,0,0,0,220,230,0,0,0,0,0,1.01722,-9.15271,-1.88E-05,3.84E-05,1,0,0
69,1204,0,1,1,0.986214,-20.212,0,-0.05345,0,0,220,230,0,0,0,0,0,1.04241,-16.2131,0.000201137,0.0534025,1,0,0
70,2047,0,1,1,0.992135,-15.5887,0,0,0,0,220,230,0,0,0,0,0,1.03151,-11.2209,-1.86E-05,-6.62E-06,1,0,0
71,1147,0,1,1,0.989813,-15.8024,0,0,0,0,220,230,0,0,0,0,0,1.02998,-11.423,-0.000322313,-3.73E-05,1,0,0
72,1264,0,1,1,1.00104,-1.84457,0,0,0,0,220,230,0,0,0,0,0,1.00159,0.285834,-8.40E-06,1.38E-06,1,0,0
73,1173,0,1,1,1.00063,-1.49023,0.00066,0.01326,0,0,220,230,0,0,0,0,0,1.00102,0.640976,-0.000669051,-0.0132578,1,0,0
74,1189,0,1,1,0.988248,-20.7887,0,-0.09067,0,0,220,230,0,0,0,0,0,1.02792,-16.9293,-0.000629651,0.0911211,1,0,0
75,507,0,1,1,0.991988,-21.3688,0,0,0,0,220,230,0,0,0,0,0,1.03361,-17.4724,-0.00119576,-0.000104948,1,0,0
76,667,0,1,1,0.988444,-20.8948,0.19603,-0.03873,0,0,220,230,0,0,0,0,0,1.02804,-17.0268,-0.19593,0.0387119,1,0,0
77,548,0,1,1,1.00163,-9.37052,0,0,0,0,220,230,0,0,0,0,0,1.03995,-5.68027,-0.000156851,1.46E-05,1,0,0
78,3227,0,1,1,0.982795,-21.8269,0,0,0,0,220,230,0,0,0,0,0,1.02254,-17.887,-0.000818783,-0.000108232,1,0,0
79,2190,0,1,1,0.993642,-22.1913,0,0,0,0,220,230,0,0,0,0,0,1.03227,-18.2219,-0.00027653,-8.14E-06,1,0,0
80,1403,0,1,1,1.00009,-1.9393,0,0,0,0,220,230,0,0,0,0,0,1.00213,0.180252,7.99E-05,-1.38E-05,1,0,0
81,1638,0,1,1,1.00665,-8.69564,0,0,0,0,220,230,0,0,0,0,0,1.0039,-5.40256,3.49E-05,-7.94E-06,1,0,0
82,1284,0,1,1,1.00674,-8.66024,0,0,0,0,220,230,0,0,0,0,0,1.00399,-5.36699,-0.000141656,7.04E-06,1,0,0
83,1662,0,1,1,1.00392,-9.50023,0,0,0,0,220,230,0,0,0,0,0,1.0039,-6.11492,-0.000245029,-1.42E-05,1,0,0
84,3212,0,1,1,1.01052,-2.31956,0,0,0,0,220,230,0,0,0,0,0,1.00356,0.624758,5.54E-05,5.05E-06,0,0,0
85,2243,0,1,1,1.00909,-9.18798,4.00E-05,0.0003,0,0,220,230,0,0,0,0,0,1.00731,-5.41961,-4.20E-05,-0.000288358,1,0,0
86,1652,0,1,1,1.00986,-8.90464,0,0,0,0,220,230,0,0,0,0,0,1.00815,-5.13605,4.49E-05,1.04E-05,1,0,0
87,1711,0,1,1,0.999791,-19.1588,0,0,0,0,220,230,0,0,0,0,0,1.0071,-15.4132,-4.18E-05,5.53E-05,1,0,0
88,777,0,1,1,0.99557,-19.6886,0,0,0,0,220,230,0,0,0,0,0,1.00347,-15.9391,-0.000392097,-2.43E-05,1,0,0
89,1390,0,1,1,1.01027,-2.59587,0,0,0,0,500,525,0,0,0,0,0,1.0268,-0.467465,-0.00207858,-0.000129956,1,0,0
90,616,0,1,1,1.01584,-1.95555,0,0,0,0,220,230,0,0,0,0,0,1.00775,1.00573,1.13E-05,1.38E-06,1,0,0
91,1793,0,1,1,1.00138,-0.182719,0,0,0,0,220,230,0,0,0,0,0,1.00295,4.44245,-0.000104901,-3.46E-07,1,0,0
92,1467,0,1,1,0.999926,-0.522687,0,0,0,0,220,230,0,0,0,0,0,0.999942,4.11917,-0.00020947,-1.47E-06,1,0,0
93,1479,0,1,1,0.991817,-22.1137,0,-0.07253,0,0,220,230,0,0,0,0,0,1.03153,-18.1543,-0.000901317,0.0723945,1,0,0
94,607,0,1,1,0.992948,-21.6822,0,0,0,0,220,230,0,0,0,0,0,1.0327,-17.7566,-0.000629433,-5.64E-05,1,0,0
95,427,0,1,1,0.991426,-13.3457,0,0,0,0,220,230,0,0,0,0,0,1.05255,-9.43435,-0.000663678,-1.94E-05,1,0,0
96,474,0,1,1,1.00022,-22.2087,0.5033,-0.0284,0,0,220,230,0,0,0,0,0,1.03159,-18.2277,-0.503018,0.0283632,1,0,0
97,10898,0,1,1,1.00023,-22.1953,0.44261,-0.02373,0,0,220,230,0,0,0,0,0,1.03161,-18.2152,-0.442361,0.0236972,1,0,0
98,1520,0,1,1,0.999665,-0.59379,0,0,0,0,220,230,0,0,0,0,0,0.999117,4.05253,0.000540716,1.52E-05,1,0,0
99,1214,0,1,1,0.999147,-0.601208,0,0,0,0,220,230,0,0,0,0,0,0.999171,4.04169,-0.000568422,-6.57E-06,1,0,0
100,1551,0,1,1,1.01007,-6.91971,0,0,0,0,500,525,0,0,0,0,0,1.01949,-3.65398,2.29E-05,3.38E-05,1,0,0
101,2020,0,1,1,1.00345,-9.25936,0,0,0,0,500,525,0,0,0,0,0,1.02423,-5.96934,-0.00367667,-0.000309183,1,0,0
102,2073,0,1,1,0.998778,-0.814087,0,0,0,0,220,230,0,0,0,0,0,0.998141,3.83291,-0.000113784,-2.67E-06,1,0,0
