tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1308,1309,四川.桥沟ZXD,四川.桥沟/1#变压器_m,1,1,1,0.000964,-0.008204,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.3756,-0.12078,0,0,1,1,1,1
1308,1310,四川.桥沟ZXD,四川.桥沟/1#变压器_l,1,1,1,0.001059,0.058393,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00079,0.20291,0,0,1,1,1,1
43,1311,四川.桥沟.220.1458,四川.桥沟/2#变压器_h,1,1,1,0.001474,0.0969,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.37457,-0.07764,0,0,1,1,1,1
1311,1312,四川.桥沟ZXD,四川.桥沟/2#变压器_m,1,1,1,0.000964,-0.007902,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.37509,0.07918,0,0,1,1,1,1
1311,1313,四川.桥沟ZXD,四川.桥沟/2#变压器_l,1,1,1,0.001059,0.058034,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00094,0.01323,0,0,1,1,1,1
77,1314,四川.柏合.220.507,四川.柏合/1#变压器_h,1,1,1,0.000926,0.082476,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.40329,-0.05787,0,0,1,1,1,1
1314,1315,四川.柏合ZXD,四川.柏合/1#变压器_m,1,1,1,0.000567,-0.007297,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.20233,0.13469,0,0,1,1,1,1
1314,1316,四川.柏合ZXD,四川.柏合/1#变压器_l,1,1,1,0.001172,0.052079,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.20069,-0.05931,0,0,1,1,1,1
77,1317,四川.柏合.220.507,四川.柏合/2#变压器_h,1,1,1,0.001049,0.080527,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,1.04841,0.24535,0,0,1,1,1,1
1317,1318,四川.柏合ZXD,四川.柏合/2#变压器_m,1,1,1,0.000529,-0.00625,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.8664,-0.11435,0,0,1,1,1,1
1317,1319,四川.柏合ZXD,四川.柏合/2#变压器_l,1,1,1,0.001471,0.05086,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.18016,-0.03213,0,0,1,1,1,1
69,1320,四川.临邛.220.1157,四川.临邛/1#变压器_h,1,1,1,0.001399,0.095633,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.64218,-0.01796,0,0,1,1,1,1
1320,1321,四川.临邛ZXD,四川.临邛/1#变压器_m,1,1,1,0.00073,-0.005966,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.59597,-0.04827,0,0,1,1,1,1
1320,1322,四川.临邛ZXD,四川.临邛/1#变压器_l,1,1,1,0.001399,0.095633,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0453,0.1103,0,0,1,1,1,1
69,1323,四川.临邛.220.1157,四川.临邛/2#变压器_h,1,1,1,0.001569,0.096267,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.6498,0.02,0,0,1,1,1,1
1323,1324,四川.临邛ZXD,四川.临邛/2#变压器_m,1,1,1,0.000435,-0.007051,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.65418,-0.10403,0,0,1,1,1,1
1323,1325,四川.临邛ZXD,四川.临邛/2#变压器_l,1,1,1,0.004594,0.060265,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0054,0.12799,0,0,1,1,1,1
197,1326,四川.高石.220.2917,四川.高石/1#变压器_h,1,1,1,0.001552,0.099,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.84019,0.06306,0,0,1,1,1,1
1326,1327,四川.高石ZXD,四川.高石/1#变压器_m,1,1,1,0.000557,-0.007665,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.83821,-0.27503,0,0,1,1,1,1
1326,1328,四川.高石ZXD,四川.高石/1#变压器_l,1,1,1,0.001684,0.0568,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00008,0.28955,0,0,1,1,1,1
197,1329,四川.高石.220.2917,四川.高石/2#变压器_h,1,1,1,0.001592,0.099465,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.83588,0.06184,0,0,1,1,1,1
1329,1330,四川.高石ZXD,四川.高石/2#变压器_m,1,1,1,0.00049,-0.007533,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.83448,-0.27156,0,0,1,1,1,1
1329,1331,四川.高石ZXD,四川.高石/2#变压器_l,1,1,1,0.00172,0.055732,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00044,0.28685,0,0,1,1,1,1
55,1332,四川.长顺.220.570,四川.长顺/3#变压器_h,1,1,1,0.000854,0.084055,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,0.89866,0.21351,0,0,1,1,1,1
1332,1333,四川.长顺ZXD,四川.长顺/3#变压器_m,1,1,1,0.00051,-0.007444,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.89813,-0.14787,0,0,1,1,1,1
1332,1334,四川.长顺ZXD,四川.长顺/3#变压器_l,1,1,1,0.000811,0.049554,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00072,0.00433,0,0,1,1,1,1
55,1335,四川.长顺.220.570,四川.长顺/2#变压器_h,1,1,1,0.0012,0.081055,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.64984,0.07829,0,0,1,1,1,1
