bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,西南.谭家湾站.500.2846,0,1,1,1.0415,-25.0503,0,0,0,0,500,525,0,0,0,0,0,1.0415,-25.0503,1.32E-06,8.18E-06,0,0,0
2,国调.德阳换流站.500.6424,0,1,1,1.05244,-25.2616,-0.0002,0.00366,0,0,500,525,0,0,0,18.6,0,1.05244,-25.2616,0.000199961,-0.00365962,0,0,0
3,重庆.宝鸡等值虚厂.500.364,0,1,1,1.04104,-26.4497,2.89785,1.81351,0,0,500,525,0,0,0,0,0,1.04104,-26.4497,-2.89785,-1.8135,0,0,0
4,西南.泸州站.500.3630,0,1,1,0.997157,-23.7814,0,0,0,0,500,525,0,0,0,-2.7,0,0.997157,-23.7814,-7.52E-06,2.46E-05,0,0,0
5,国调.复龙换流站.500.2,0,1,1,1.00673,-23.5234,-0.22843,-10.9234,0,0,500,525,0,0,0,18,0,1.00673,-23.5234,0.228266,10.9234,0,0,0
6,重庆.宝鸡等值虚厂.500.365,0,1,1,1.04091,-26.4181,2.82425,1.83568,0,0,500,525,0,0,0,0,0,1.04091,-26.4181,-2.82425,-1.83567,0,0,0
7,国调.官地电厂.500.189,0,1,1,1.01744,-1.15152,0,0,0,0,500,525,0,0,0,0,0,1.01744,-1.15152,-8.30E-07,4.65E-06,0,0,0
8,国调.月城站.500.3933,0,1,1,1.0082,-3.17758,0,0,0,0,500,525,0,0,0,-5.6,0,1.0082,-3.17758,-4.98E-06,6.96E-05,0,0,0
9,国调.向家坝.500.277,0,1,1,1.00595,-20.5909,0,0,0,0,500,525,0,0,0,0,0,1.00595,-20.5909,4.71E-06,6.41E-05,0,0,0
10,国调.向家坝.500.276,0,1,1,1.00662,-20.5984,0,0,0,0,500,525,0,0,0,0,0,1.00662,-20.5984,3.85E-06,6.35E-05,0,0,0
11,国调.宜宾换流.500.8912,0,1,1,1.00914,-23.4543,73.5408,37.0452,0,0,500,525,0,0,0,52,0,1.00914,-23.4543,-73.5408,-37.0444,0,0,0
12,国调.溪洛渡电厂.500.286,0,1,1,1.00632,-12.5202,0,0,0,0,500,525,0,0,0,0,0,1.00632,-12.5202,-6.22E-06,0.00021815,0,0,0
13,四川.金鹅.220.1348,0,1,1,0.987667,-28.2938,0,0,0,0,220,230,0,0,0,0,0,0.987667,-28.2938,8.53E-07,4.66E-06,0,0,0
14,重庆.来苏等值虚厂.220.358,0,1,1,0.988584,-28.842,0.37993,-0.02095,0,0,220,230,0,0,0,0,0,0.988584,-28.842,-0.37993,0.0209508,0,0,0
15,西南.黄岩站.500.1144,0,1,1,1.00818,-26.3254,0,0,0,0,500,525,0,0,0,0,0,1.00818,-26.3254,2.00E-07,2.11E-06,0,0,0
16,重庆.万县等值虚厂.500.359,0,1,1,1.0043,-27.5613,3.76828,-4.17388,0,0,500,525,0,0,0,-6.2752,0,1.0043,-27.5613,-3.76828,4.17387,0,0,0
17,西南.洪沟站.500.990,0,1,1,0.984174,-24.3846,0,0,0,0,500,525,0,0,0,-5.4,0,0.984174,-24.3846,-1.96E-06,0.00030193,0,0,0
18,重庆.板桥等值虚厂.500.325,0,1,1,0.965638,-34.1216,28.4203,-0.29531,0,0,500,525,0,0,0,0,0,0.965638,-34.1216,-28.4203,0.29548,0,0,0
19,四川.白马新厂.220.488,0,1,1,0.989545,-26.748,-9.00E-05,0,0,0,220,230,0,0,0,0,0,0.989545,-26.748,9.01E-05,1.02E-06,0,0,0
20,四川.寿溪桥.220.2634,0,1,1,0.986648,-27.2733,0,0,0,0,220,230,0,0,0,0,0,0.986648,-27.2733,4.16E-07,4.99E-06,0,0,0
21,四川.新广兴.220.3134,0,1,1,1.02017,-23.6755,0,0,0,0,220,230,0,0,0,0,0,1.02017,-23.6755,-1.41E-07,1.15E-06,0,0,0
22,四川.白石岩.220.499,0,1,1,1.02081,-23.1667,0.00408,-0.09517,0,0,220,230,0,0,0,0,0,1.02081,-23.1667,-0.00407992,0.0951696,0,0,0
23,四川.新棉.220.3149,0,1,1,1.0132,-4.76126,-0.38557,-0.06434,0,0,220,230,0,0,0,0,0,1.0132,-4.76126,0.38557,0.0643395,0,0,0
24,四川.姚河坝厂.220.3400,0,1,1,1.01426,-3.97047,0,0,0,0,220,230,0,0,0,0,0,1.01426,-3.97047,-4.45E-09,4.59E-07,0,0,0
25,四川.临巴厂.500.1581,0,1,1,1.00763,-25.8522,0,0,0,0,500,525,0,0,0,-0.7438,0,1.00763,-25.8522,9.61E-08,4.22E-07,0,0,0
26,四川.南充.500.1822,0,1,1,1.00281,-26.8771,0,0,0,0,500,525,0,0,0,-3,0,1.00281,-26.8771,-2.46E-06,6.70E-06,0,0,0
27,四川.宝珠寺厂.220.543,0,1,1,1.01974,-21.9469,0,0,0,0,220,230,0,0,0,0,0,1.01974,-21.9469,1.14E-07,3.57E-06,0,0,0
28,四川.袁家坝.220.3490,0,1,1,1.02065,-23.6465,0,0,0,0,220,230,0,0,0,0,0,1.02065,-23.6465,1.80E-08,3.01E-07,0,0,0
29,四川.赤化.220.584,0,1,1,1.02458,-23.8111,0,0,0,0,220,230,0,0,0,0,0,1.02458,-23.8111,1.06E-07,9.48E-07,0,0,0
30,四川.天明.220.2991,0,1,1,1.02884,-28.0834,0,-0.11359,0,0,220,230,0,0,0,0,0,1.02884,-28.0834,4.83E-07,0.113591,0,0,0
31,四川.平春.220.2165,0,1,1,0.985484,-21.825,0,0,0,0,220,230,0,0,0,0,0,0.985484,-21.825,3.50E-07,3.91E-06,0,0,0
32,四川.东坡.220.788,0,1,1,0.984935,-21.2632,0,-0.07936,0,0,220,230,0,0,0,0,0,0.984935,-21.2632,-4.39E-06,0.0793449,0,0,0
33,四川.石棉.220.2477,0,1,1,0.999533,-5.9411,0,0,0,0,220,230,0,0,0,0,0,0.999533,-5.9411,1.75E-07,6.15E-07,0,0,0
34,四川.滨东厂.220.559,0,1,1,0.998369,-4.33526,0,0,0,0,220,230,0,0,0,0,0,0.998369,-4.33526,-6.84E-07,-1.96E-06,0,0,0
35,四川.修文.220.3184,0,1,1,0.982626,-22.1571,2.23368,1.08184,0,0,220,230,0,0,0,0,0,0.982626,-22.1571,-2.23368,-1.08183,0,0,0
36,四川.修文.220.19755,0,1,1,0.980536,-21.8462,2.10858,0.65868,0,0,220,230,0,0,0,0,0,0.980536,-21.8462,-2.10858,-0.658671,0,0,0
37,西南.石板箐站.500.2311,0,1,1,1.00567,-2.42993,0,0,0,0,500,525,0,0,0,0,0,1.00567,-2.42993,-1.20E-07,1.78E-06,0,0,0
38,西南.二滩厂.500.885,0,1,1,1.0065,-1.46882,0,0,0,0,500,525,0,0,0,0,0,1.0065,-1.46882,4.60E-07,4.63E-06,0,0,0
39,四川.龚嘴上厂.220.945,0,1,1,0.990306,-11.7869,-0.03079,0.14365,0,0,220,230,0,0,0,0,0,0.990306,-11.7869,0.0307898,-0.143647,0,0,0
40,四川.九里.220.1387,0,1,1,0.985933,-13.0306,0,0,0,0,220,230,0,0,0,0,0,0.985933,-13.0306,-3.96E-07,2.18E-06,0,0,0
41,四川.龚嘴下厂.220.949,0,1,1,0.993161,-11.2299,-0.11605,0.0086,0,0,220,230,0,0,0,0,0,0.993161,-11.2299,0.11605,-0.00859696,0,0,0
42,四川.屏山.220.2173,0,1,1,0.998373,-22.9591,0,0,0,0,220,230,0,0,0,0,0,0.998373,-22.9591,6.06E-07,2.98E-06,0,0,0
43,四川.龚嘴上厂.220.19747,0,1,1,1.01269,-12.4065,0,0,0,0,220,230,0,0,0,0,0,1.01269,-12.4065,-3.59E-07,2.87E-06,0,0,0
44,四川.六六六.220.5168,0,1,1,0.990274,-11.7433,0,0,0,0,220,230,0,0,0,0,0,0.990274,-11.7433,1.44E-07,-3.30E-07,0,0,0
45,四川.广安厂.220.961,0,1,1,1.00754,-28.1213,0,0,0,0,220,230,0,0,0,0,0,1.00754,-28.1213,-1.78E-07,9.85E-07,0,0,0
46,四川.代市.220.627,0,1,1,1.0075,-28.197,0,0,0,0,220,230,0,0,0,0,0,1.0075,-28.197,1.19E-07,6.03E-07,0,0,0
47,四川.广安二厂.500.4944,0,1,1,1.00792,-26.2498,0,0,0,0,500,525,0,0,0,0,0,1.00792,-26.2498,2.03E-07,1.79E-06,0,0,0
48,四川.双合.220.2781,0,1,1,1.01018,-17.1004,0,0,0,0,220,230,0,0,0,-0.3,0,1.01018,-17.1004,-2.33E-07,-1.03E-06,0,0,0
49,四川.黑河塘厂.220.988,0,1,1,1.00952,-15.4497,0,0,0,0,220,230,0,0,0,0,0,1.00952,-15.4497,-1.02E-08,-2.47E-08,0,0,0
50,四川.舒平.220.2642,0,1,1,0.991587,-25.7375,0,-0.09854,0,0,220,230,0,0,0,0,0,0.991587,-25.7375,6.94E-07,0.0985482,0,0,0
