bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
1,1725,0,1,1,1.00479,-14.4629,0,0,0,0,500,525,0,0,0,0,0,1.004792381,0,0,0,1,0,0
2,4158,0,1,1,1.00531,-13.4699,-0.11205,-0.31326,0,0,500,525,0,0,0,18.6,0,1.005314286,0,0,0,1,0,0
3,364,0,1,1,0.950332,-6.19101,-14.5564,6.97328,0,0,500,525,0,0,0,0,0,0,0,-1509.13,-771.01,0,0,0
4,2286,0,1,1,1.00169,-12.1552,0,0,0,0,500,525,0,0,0,0,0,1.001687619,0,0,0,1,0,0
5,2,0,1,1,1.00173,-10.6159,0,0,0,0,500,525,0,0,0,18,0,1.001725714,0,0,0,1,0,0
6,365,0,1,1,0.950066,-6.16963,-14.5943,6.99972,0,0,500,525,0,0,0,0,0,0,0,-1517,-770.86,0,0,0
7,189,0,1,1,1.01586,-1.10107,0,0,0,0,500,525,0,0,0,0,0,1.015862857,0,0,0,1,0,0
8,2496,0,1,1,1.01657,-2.00478,0,0,0,0,500,525,0,0,0,0,0,1.016567619,0,0,0,1,0,0
9,277,0,1,1,1.00161,-9.24434,0,0,0,0,500,525,0,0,0,0,0,1.001609524,0,0,0,1,0,0
10,276,0,1,1,1.00194,-9.3106,0,0,0,0,500,525,0,0,0,0,0,1.001939048,0,0,0,1,0,0
11,6185,0,1,1,1.00024,-10.4166,45.8986,19.4602,0,0,500,525,0,0,0,52,0,1.00023619,0,4591.67,1946.05,1,0,0
12,286,0,1,1,0.997126,-1.72948,0,0,0,0,500,525,0,0,0,0,0,0.997125714,0,0,0,1,0,0
13,943,0,1,1,1.00162,-14.7396,0,0,0,0,500,525,0,0,0,0,0,1.001617143,0,0,0,1,0,0
14,359,0,1,1,0.998619,-12.3123,-5.74864,-3.33568,0,0,500,525,0,0,0,-3.2876,0,0.998619048,0,0,0,1,0,0
