tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,
1,2,1,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,-28.9558,-3.04088,28.9794,3.26893,1,1,1,1,,,,,,
1,2,1,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,26,1,1,1,0,0.001691,0.020206,1.191482,0,0,0,0,0,0,0,0,0,0,0,0,3.33626,-0.023557,-3.32684,-2.33134,1,1,1,1,,,,,,
1,26,1,1,1,0,0.00152,0.019908,1.137506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,110,1,1,1,0,0.000434,0.00627,0.358346,0,0,0,0,0,0,0,0,0,0,0,0,9.82897,-0.745953,-9.81,0.236408,1,1,1,1,,,,,,
1,110,1,1,1,0,0.000409,0.006475,0.381582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,149,1,1,1,0,0.000887,0.012727,0.721233,0,0,0,0,0,0,0,0,0,0,0,0,-2.95266,2.82428,2.96145,-4.20726,1,1,1,1,,,,,,
1,149,1,1,1,0,0.00086,0.012727,0.711021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,367,1,1,1,0,0.000289,0.004878,0.274611,0,0,0,0,0,0,0,0,0,0,0,0,8.03219,-0.418989,-8.02353,-0.0246759,1,1,1,1,,,,,,
1,367,1,1,1,0,0.000289,0.004871,0.273832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
1,896,1,1,1,1,0.000079,0.018333,0,0,0,0,0,0,1,0,0,0,0,0,0,3.31849,0.77578,-3.31763,-0.577919,1,1,1,1,,,,,,
1,898,1,1,1,1,0.000113,0.017933,0,0,0,0,0,0,1,0,0,0,0,0,0,3.40122,0.77387,-3.39994,-0.571111,1,1,1,1,,,,,,
2,3,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,-14.4162,8.56746,14.5601,-6.96929,1,1,1,1,,,,,,
2,6,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,-14.4565,8.59137,14.6013,-6.98127,1,1,1,1,,,,,,
4,5,1,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-7.24772,-7.36307,7.26782,5.56833,1,1,1,1,,,,,,
4,5,1,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
4,5,1,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
4,17,1,1,1,0,0.000531,0.007651,0.421177,0,0,0,0,0,0,0,0,0,0,0,0,6.98131,5.05322,-6.96252,-5.73961,1,1,1,1,,,,,,
4,17,1,1,1,0,0.000552,0.007645,0.427062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
4,881,1,1,1,1,0.000089,0.01838,0,0,0,0,0,0,1,0,0,0,0,0,0,1.89731,1.68469,-1.89681,-1.5813,1,1,1,1,,,,,,
4,883,1,1,1,1,0.000087,0.018247,0,0,0,0,0,0,1,0,0,0,0,0,0,1.90479,1.69805,-1.9043,-1.59424,1,1,1,1,,,,,,
7,8,1,1,1,0,0.000301,0.003585,0.184517,0,0,0,0,0,0,0,0,0,0,0,0,9.07147,-3.82319,-9.06391,3.58452,1,1,1,1,,,,,,
7,8,1,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
7,649,1,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-4.47889,1.46864,4.4853,-0.964469,1,1,1,1,,,,,,
7,650,1,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.184278,0.96239,0.184555,-0.940602,1,1,1,1,,,,,,
7,651,1,1,1,1,0.000283,0.022226,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-4.40829,1.39216,4.41447,-0.907197,1,1,1,1,,,,,,
8,91,1,1,1,0,0.000403,0.009598,0.565839,0,0,0,0,0,0,0,0,0,0,0,0,-0.202835,1.08625,0.203384,-2.29676,1,1,1,1,,,,,,
8,91,1,1,1,0,0.000409,0.009578,0.568479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
8,330,1,1,1,0,0.001441,0.027405,1.582888,0,0,0,0,0,0,0,0,0,0,0,0,5.46046,-3.10312,-5.43886,0.0200071,1,1,1,1,,,,,,
8,330,1,1,1,0,0.001517,0.027405,1.571117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
8,377,1,1,1,0,0.000106,0.001268,0.075181,0,0,0,0,0,0,0,0,0,0,0,0,14.3754,-6.20559,-14.3651,6.1838,1,1,1,1,,,,,,
8,377,1,1,1,0,0.000077,0.001272,0.075722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
8,949,1,1,1,1,0.000132,0.017733,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.827009,1.55439,0.827422,-1.49887,1,1,1,1,,,,,,
8,951,1,1,1,1,0.000132,0.017933,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-0.813047,1.52991,0.813447,-1.47554,1,1,1,1,,,,,,
9,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,13.3673,-7.7614,-13.3451,7.61729,1,1,1,1,,,,,,
9,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
9,654,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.77025,3.76041,6.78624,-2.47041,1,1,1,1,,,,,,
9,655,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.59754,4.00101,6.61342,-2.72051,1,1,1,1,,,,,,
10,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,12.726,-7.56431,-12.7056,7.38965,1,1,1,1,,,,,,
10,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
10,656,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.21993,3.69059,6.23388,-2.56614,1,1,1,1,,,,,,
10,657,1,1,1,1,0.000283,0.022821,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.50643,3.87374,6.52172,-2.64113,1,1,1,1,,,,,,
11,5,1,1,1,0,0.00006,0.001267,0.089923,0,0,0,0,0,0,0,0,0,0,0,0,4.09563,9.69413,-4.09283,-9.85249,1,1,1,1,,,,,,
11,5,1,1,1,0,0.000059,0.001266,0.092301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
11,241,1,1,1,0,0.000232,0.003765,0.237959,0,0,0,0,0,0,0,0,0,0,0,0,-1.1645,10.5886,1.17614,-10.9584,1,1,1,1,,,,,,
11,241,1,1,1,0,0.000236,0.003788,0.234064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
11,2246,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00145554,12.6321,0.0147337,-12.4993,1,1,1,1,,,,,,
11,2247,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00187156,-12.5704,0.0150203,12.7018,1,1,1,1,,,,,,
12,11,1,1,1,0,0.00048,0.009556,0.561815,0,0,0,0,0,0,0,0,0,0,0,0,49.1879,-17.1386,-48.8342,22.6996,1,1,1,1,,,,,,
12,11,1,1,1,0,0.000412,0.009012,0.568609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
12,11,1,1,1,0,0.00041,0.009021,0.570427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
12,662,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.18652,2.20606,6.1986,-1.23538,1,1,1,1,,,,,,
12,663,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-5.99379,2.16282,6.00516,-1.24921,1,1,1,1,,,,,,
12,664,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.04507,2.11064,6.05655,-1.18816,1,1,1,1,,,,,,
12,665,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.09306,2.09166,6.10468,-1.15786,1,1,1,1,,,,,,
12,666,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.31248,2.27516,6.32509,-1.26208,1,1,1,1,,,,,,
12,667,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.1865,2.21408,6.19859,-1.24261,1,1,1,1,,,,,,
12,668,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.27614,2.01915,6.28831,-1.04111,1,1,1,1,,,,,,
12,669,1,1,1,1,0.000279,0.02242,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-6.09557,2.05902,6.10716,-1.12758,1,1,1,1,,,,,,
14,13,1,1,1,0,0.010737,0.054491,0.05277,0,0,0,0,0,0,0,0,0,0,0,0,0.00068184,-0.0408915,-0.000680325,-0.0162389,1,1,1,1,,,,,,
14,1046,1,1,1,1,0.001752,0.121707,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.293216,0.0504214,-0.293085,-0.0413126,1,1,1,1,,,,,,
14,1049,1,1,1,1,0.001635,0.099299,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.357555,0.039245,-0.357376,-0.028382,1,1,1,1,,,,,,
15,16,1,1,1,0,0.000765,0.011613,0.903526,0,0,0,0,0,0,0,0,0,0,0,0,-4.86766,-1.66434,4.87822,-0.119921,1,1,1,1,,,,,,
15,16,1,1,1,0,0.001077,0.011727,0.905707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
15,49,1,1,1,0,0.000024,0.000298,0.019032,0,0,0,0,0,0,0,0,0,0,0,0,-1.78331,1.14683,1.78336,-1.18931,1,1,1,1,,,,,,
15,49,1,1,1,0,0.000028,0.000334,0.02194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
15,192,1,1,1,0,0.000641,0.008128,0.49089,0,0,0,0,0,0,0,0,0,0,0,0,-0.354563,0.0496741,0.354688,-1.06064,1,1,1,1,,,,,,
15,192,1,1,1,0,0.000571,0.007928,0.47224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
15,875,1,1,1,1,0.000087,0.019007,0,0,0,0,0,0,1,0,0,0,0,0,0,2.48907,0.0953253,-2.48856,0.0166146,1,1,1,1,,,,,,
15,877,1,1,1,1,0.000091,0.017934,0,0,0,0,0,0,1,0,0,0,0,0,0,2.62623,0.0037326,-2.62563,0.113677,1,1,1,1,,,,,,
17,18,1,1,1,0,0.000911,0.011365,0.64438,0,0,0,0,0,0,0,0,0,0,0,0,8.061,-0.411068,-8.03446,-0.688387,1,1,1,1,,,,,,
17,18,1,1,1,0,0.000883,0.011163,0.664069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
17,267,1,1,1,0,0.001171,0.015936,0.962697,0,0,0,0,0,0,0,0,0,0,0,0,3.31956,2.56262,-3.29764,-3.27388,1,1,1,1,,,,,,
