tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
31,32,1,1,1,0,0.003371,0.021122,0.032756,0,0,0,0,0,0,0,0,0,0,0,0,-0.76958,0.1748,0.77171,-0.22709,1,1,1,1
33,30,1,1,1,0,0.001321,0.009384,0.012474,0,0,0,0,0,0,0,0,0,0,0,0,-1.31795,0.30527,1.32042,-0.31222,1,1,1,1
34,30,1,1,1,0,0.000979,0.00966,0.013727,0,0,0,0,0,0,0,0,0,0,0,0,-1.05005,-0.28545,1.05123,0.2703,1,1,1,1
34,30,1,1,1,0,0.001301,0.00966,0.012285,0,0,0,0,0,0,0,0,0,0,0,0,-1.05432,-0.24854,1.05588,0.23612,1,1,1,1
35,36,1,1,1,0,0.001396,0.020366,1.115229,0,0,0,0,0,0,0,0,0,0,0,0,-6.16674,1.36535,6.21997,0.62146,1,1,1,1
37,36,1,1,1,0,0.000241,0.003617,0.202708,0,0,0,0,0,0,0,0,0,0,0,0,-5.43419,0.01387,5.44122,-0.31936,1,1,1,1
38,39,1,1,1,0,0.004141,0.021017,0.020353,0,0,0,0,0,0,0,0,0,0,0,0,1.67161,-0.2055,-1.65996,0.22385,1,1,1,1
40,39,1,1,1,0,0.003604,0.018745,0.017711,0,0,0,0,0,0,0,0,0,0,0,0,0.46386,0.05439,-0.46307,-0.08582,1,1,1,1
40,41,1,1,1,0,0.008034,0.03782,0.036698,0,0,0,0,0,0,0,0,0,0,0,0,1.86168,-0.25693,-1.83361,0.31549,1,1,1,1
42,43,1,1,1,0,0.020236,0.092944,0.085604,0,0,0,0,0,0,0,0,0,0,0,0,-1.95885,0.41235,2.04372,-0.19131,1,1,1,1
44,38,1,1,1,0,0.010052,0.040208,0.036321,0,0,0,0,0,0,0,0,0,0,0,0,-0.52971,0.08995,0.53268,-0.15103,1,1,1,1
44,40,1,1,1,0,0.00977,0.03908,0.03737,0,0,0,0,0,0,0,0,0,0,0,0,0.11295,-0.09342,-0.1128,0.01892,1,1,1,1
45,46,1,1,1,0,0.000455,0.003124,0.015399,0,0,0,0,0,0,0,0,0,0,0,0,-0.32294,0.10356,0.32299,-0.13347,1,1,1,1
45,46,1,1,1,0,0.000448,0.00313,0.004819,0,0,0,0,0,0,0,0,0,0,0,0,-0.32272,0.11294,0.32277,-0.12204,1,1,1,1
13,47,1,1,1,0,0.000024,0.000298,0.019032,0,0,0,0,0,0,0,0,0,0,0,0,-0.92687,0.14587,0.92689,-0.1835,1,1,1,1
13,47,1,1,1,0,0.000028,0.000334,0.02194,0,0,0,0,0,0,0,0,0,0,0,0,-0.82519,0.12853,0.82521,-0.17198,1,1,1,1
48,49,1,1,1,0,0.004122,0.026788,0.048756,0,0,0,0,0,0,0,0,0,0,0,0,-0.73774,-0.02158,0.73996,-0.06292,1,1,1,1
50,51,1,1,1,0,0.002137,0.011593,0.016165,0,0,0,0,0,0,0,0,0,0,0,0,-0.19703,-0.08698,0.19713,0.05555,1,1,1,1
52,53,1,1,1,0,0.000892,0.008068,0.015955,0,0,0,0,0,0,0,0,0,0,0,0,1.66722,-0.14225,-1.66474,0.13252,1,1,1,1
52,53,1,1,1,0,0.000892,0.008068,0.015955,0,0,0,0,0,0,0,0,0,0,0,0,1.66719,-0.1424,-1.66471,0.13267,1,1,1,1
54,52,1,1,1,0,0.002396,0.011389,0.016611,0,0,0,0,0,0,0,0,0,0,0,0,-1.3284,-0.18527,1.33271,0.17248,1,1,1,1
55,56,1,1,1,0,0.001146,0.007071,0.006445,0,0,0,0,0,0,0,0,0,0,0,0,0.48885,-0.04575,-0.48857,0.03464,1,1,1,1
57,58,1,1,1,0,0.007029,0.036024,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,0.66143,-0.09116,-0.6583,0.03544,1,1,1,1
57,58,1,1,1,0,0.006935,0.037856,0.034084,0,0,0,0,0,0,0,0,0,0,0,0,0.63134,-0.07914,-0.62854,0.0271,1,1,1,1
59,60,1,1,1,0,0.004953,0.03051,0.036551,0,0,0,0,0,0,0,0,0,0,0,0,-0.36319,-0.0457,0.36385,-0.02327,1,1,1,1
55,61,1,1,1,0,0.001863,0.009879,0.010743,0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0.01116,-0.13327,-0.03236,1,1,1,1
55,28,1,1,1,0,0.003025,0.01535,0.014865,0,0,0,0,0,0,0,0,0,0,0,0,-0.34734,0.03879,0.34771,-0.06648,1,1,1,1
52,62,1,1,1,0,0.002535,0.013792,0.144349,0,0,0,0,0,0,0,0,0,0,0,0,1.13188,-0.08807,-1.12865,-0.18406,1,1,1,1
62,52,1,1,1,0,0.002247,0.019244,0.143443,0,0,0,0,0,0,0,0,0,0,0,0,-0.81327,-0.2256,0.81477,-0.04943,1,1,1,1
59,63,1,1,1,0,0.001629,0.009477,0.01671,0,0,0,0,0,0,0,0,0,0,0,0,-0.26753,-0.03683,0.26764,0.00419,1,1,1,1
64,59,1,1,1,0,0.002868,0.016648,0.029152,0,0,0,0,0,0,0,0,0,0,0,0,0.54129,-0.36908,-0.54011,0.31811,1,1,1,1
31,65,1,1,1,0,0.003701,0.020509,0.020904,0,0,0,0,0,0,0,0,0,0,0,0,-0.69938,-0.10375,0.7012,0.07173,1,1,1,1
66,39,1,1,1,0,0.002791,0.015578,0.055419,0,0,0,0,0,0,0,0,0,0,0,0,-0.38132,0.29808,0.38207,-0.40524,1,1,1,1
66,39,1,1,1,0,0.003399,0.016713,0.029034,0,0,0,0,0,0,0,0,0,0,0,0,-0.34608,0.30737,0.34686,-0.36184,1,1,1,1
67,68,1,1,1,0,0.025662,0.142949,0.128473,0,0,0,0,0,0,0,0,0,0,0,0,-0.84134,-0.02989,0.8603,-0.11784,1,1,1,1
69,67,1,1,1,0,0.002427,0.019021,0.034347,0,0,0,0,0,0,0,0,0,0,0,0,-0.00554,0.0313,0.00555,-0.09795,1,1,1,1
69,67,1,1,1,0,0.000543,0.021064,0.034538,0,0,0,0,0,0,0,0,0,0,0,0,-0.01096,0.02448,0.01096,-0.0915,1,1,1,1
70,71,1,1,1,0,0.002258,0.012787,0.027743,0,0,0,0,0,0,0,0,0,0,0,0,0.3087,0.09886,-0.30845,-0.1519,1,1,1,1
70,71,1,1,1,0,0.002222,0.012762,0.02825,0,0,0,0,0,0,0,0,0,0,0,0,0.30913,0.09941,-0.30888,-0.15345,1,1,1,1
72,73,1,1,1,0,0.000958,0.007471,0.013397,0,0,0,0,0,0,0,0,0,0,0,0,-0.80852,0.14707,0.80917,-0.16884,1,1,1,1
74,75,1,1,1,0,0.004602,0.025304,0.024299,0,0,0,0,0,0,0,0,0,0,0,0,0.35432,-0.23225,-0.35352,0.18898,1,1,1,1
74,76,1,1,1,0,0.001466,0.008822,0.016361,0,0,0,0,0,0,0,0,0,0,0,0,0.19609,-0.07032,-0.19603,0.03873,1,1,1,1
57,77,1,1,1,0,0.007183,0.039792,0.037697,0,0,0,0,0,0,0,0,0,0,0,0,-1.05664,0.01556,1.06476,-0.04575,1,1,1,1
78,74,1,1,1,0,0.002399,0.012966,0.01666,0,0,0,0,0,0,0,0,0,0,0,0,-1.384,-0.16101,1.38881,0.15464,1,1,1,1
79,74,1,1,1,0,0.001156,0.011779,0.024667,0,0,0,0,0,0,0,0,0,0,0,0,-1.97459,0.64953,1.97969,-0.64604,1,1,1,1
79,74,1,1,1,0,0.001111,0.01193,0.024484,0,0,0,0,0,0,0,0,0,0,0,0,-1.95382,0.63167,1.9586,-0.62843,1,1,1,1
