tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,西南.谭家湾站.500.2559,西南.谭德二线,1,1,0,0.000055,0.001198,0.078281,0,0,0,0,0,0,0,0,0,0,0,0,2.90013,-0.96322,-2.89963,0.81333,1,1,1,1
1,2,西南.谭家湾站.500.2559,西南.谭德一线,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,2.84319,-1.04286,-2.84262,0.74335,1,1,1,1
2,3,国调.德阳换流站.500.5717,国调.德宝直流极1线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,2.88876,0.81977,-2.88336,-1.80218,1,1,1,1
4,5,西南.泸州站.500.3227,西南.泸复二线,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-0.38877,0.50125,0.38893,-0.84296,1,1,1,1
4,5,西南.泸州站.500.3227,西南.泸复三线,1,1,0,0.000731,0.009318,0.596693,0,0,0,0,0,0,0,0,0,0,0,0,-0.39905,0.49464,0.39922,-0.86492,1,1,1,1
4,5,西南.泸州站.500.3227,西南.泸复一线,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,-0.38945,0.50665,0.38961,-0.84124,1,1,1,1
2,6,国调.德阳换流站.500.5717,国调.德宝直流极2线路,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,2.84224,0.81122,-2.83699,-1.796,1,1,1,1
7,8,国调.官地电厂.500.189,国调.官月Ⅰ线,1,1,0,0.000301,0.003585,0.184517,0,0,0,0,0,0,0,0,0,0,0,0,10.25446,1.86801,-10.2226,-1.86658,1,1,1,1
7,8,国调.官地电厂.500.189,国调.官月Ⅱ线,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,10.11277,2.61768,-10.10852,-2.61202,1,1,1,1
9,5,国调.向家坝.500.277,国调.向复一线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.35583,-0.77087,-14.310451,1.08067,1,1,1,1
9,5,国调.向家坝.500.277,国调.向复二线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.35583,-0.77087,-14.310451,1.08067,1,1,1,1
10,5,国调.向家坝.500.276,国调.向复三线,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,14.34058,-0.62025,-14.29537,0.92693,1,1,1,1
