tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
297,916,四川.白溪厂.35.5110,四川.白溪厂/1#变压器,1,1,1,0.014609,0.36523,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.02815,0.00438,0.02817,-0.00407,1,1,0,0
297,917,四川.白溪厂.35.5110,四川.白溪厂/2#变压器,1,1,1,0.014609,0.36523,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.02408,-0.00226,0.02409,0.00249,1,1,0,0
240,918,四川.红房子厂.220.1131,四川.红房子厂/1#变压器_h,1,1,1,0.010291,0.1904,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.30213,0.01879,0,0,1,1,0,0
584,918,四川.红房子厂.110.1134,四川.红房子厂/1#变压器_m,1,1,1,0.009187,0.112132,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.0123,0.01121,0,0,1,1,0,0
919,918,四川.红房子厂.10.1135,四川.红房子厂/1#变压器_l,1,1,1,0.002033,-0.008132,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2911,-0.01166,0,0,1,1,0,0
104,920,四川.雅安.500.3364,四川.雅安/2#变压器_h,1,1,1,0.000083,0.0179,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-2.42382,-0.99584,0,0,1,1,0,0
188,920,四川.雅安.220.3368,四川.雅安/2#变压器_m,1,1,1,0.000075,-0.001847,0,0,0,0,0,0,1.025,0,0,0,0,0,0,2.42527,0.53206,0,0,1,1,0,0
921,920,四川.雅安.35.3370,四川.雅安/2#变压器_l,1,1,1,0.000449,0.03994,0,0,0,0,0,0,0.972973,0,0,0,0,0,0,-0.00008,0.60002,0,0,1,1,0,0
180,922,四川.五一桥厂.220.3768,四川.五一桥厂/3#变压器_h,1,1,1,0.000681,0.018,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.32547,-0.04072,0,0,1,1,0,0
649,922,四川.五一桥厂.110.3769,四川.五一桥厂/3#变压器_m,1,1,1,0.000454,0.01128,0,0,0,0,0,0,1,0,0,0,0,0,0,0.32562,0.04429,0,0,1,1,0,0
649,923,四川.五一桥厂.110.3769,四川.五一桥厂/4#变压器_h,1,1,1,0.001512,0.039758,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.00454,0,0,1,1,0,0
924,923,四川.五一桥厂.35.3770,四川.五一桥厂/4#变压器_m,1,1,1,0.000781,-0.003123,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01212,0.01161,0,0,1,1,0,0
925,923,四川.五一桥厂.10.3774,四川.五一桥厂/4#变压器_l,1,1,1,0.001512,0.009013,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.01212,-0.00706,0,0,1,1,0,0
924,926,四川.五一桥厂.35.3770,四川.五一桥厂/5#变压器,1,1,1,0.014609,0.36523,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.01217,-0.01165,0.01217,0.01176,1,1,0,0
144,927,四川.九龙.500.1394,四川.九龙/2#变压器_h,1,1,1,0.000083,0.017973,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,-4.04575,0.71501,0,0,1,1,0,0
