bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
1,1725,0,1,1,1.00479,-14.4629,0,0,0,0,500,525,0,0,0,0,0,1.03456,-10.8224,-0.000161809,-0.00016254,1,0,0,,,,,,,
2,4158,0,1,1,1.00531,-13.4699,-0.11205,-0.31326,0,0,500,525,0,0,0,18.6,0,1.03714,-9.89307,0.118047,0.312315,1,0,0,,,,,,,
3,364,0,1,1,0.950332,-6.19101,-14.5564,6.97328,0,0,500,525,0,0,0,0,0,0.982652,-3.0682,14.5492,-6.97121,0,0,0,,,,,,,
4,2286,0,1,1,1.00169,-12.1552,0,0,0,0,500,525,0,0,0,0,0,1.06691,-8.05529,-0.00140117,-1.22E-05,1,0,0,,,,,,,
5,2,0,1,1,1.00173,-10.6159,0,0,0,0,500,525,0,0,0,18,0,1.08858,-6.97613,-0.00118867,4.46E-06,1,0,0,,,,,,,
6,365,0,1,1,0.950066,-6.16963,-14.5943,6.99972,0,0,500,525,0,0,0,0,0,0.9824,-3.0483,14.5871,-6.99764,0,0,0,,,,,,,
7,189,0,1,1,1.01586,-1.10107,0,0,0,0,500,525,0,0,0,0,0,1.03596,0.104246,-1.20E-05,9.84E-06,1,0,0,,,,,,,
8,2496,0,1,1,1.01657,-2.00478,0,0,0,0,500,525,0,0,0,0,0,1.04141,-0.77326,-0.00189366,7.60E-06,1,0,0,,,,,,,
9,277,0,1,1,1.00161,-9.24434,0,0,0,0,500,525,0,0,0,0,0,1.07747,-5.76769,-0.000452279,3.55E-05,1,0,0,,,,,,,
10,276,0,1,1,1.00194,-9.3106,0,0,0,0,500,525,0,0,0,0,0,1.07778,-5.82434,-0.00042918,3.42E-05,1,0,0,,,,,,,
11,6185,0,1,1,1.00024,-10.4166,45.8986,19.4602,0,0,500,525,0,0,0,52,0,1.09436,-6.85732,-45.8954,-19.4594,1,0,0,,,,,,,
12,286,0,1,1,0.997126,-1.72948,0,0,0,0,500,525,0,0,0,0,0,1.04421,0.836962,-0.00146999,-5.01E-05,1,0,0,,,,,,,
13,943,0,1,1,1.00162,-14.7396,0,0,0,0,500,525,0,0,0,0,0,1.02447,-11.4785,-0.000256872,-5.97E-05,1,0,0,,,,,,,
