bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
37,10906,0,1,1,1.00752,-4.66724,0,0,0,0,500,525,0,0,0,0,0,1.03414,-0.571487,-5.26E-05,7.32E-06,0,0,0,,,,,,,
38,784,0,1,1,1.00762,0.318284,0,0,0,0,500,525,0,0,0,0,0,1.0129,4.05416,-0.000217161,1.62E-05,1,0,0,,,,,,,
39,1518,0,1,1,1.00693,-0.636164,0,0,0,0,500,525,0,0,0,0,0,1.01247,3.09937,-0.000334543,-3.19E-06,1,0,0,,,,,,,
40,843,0,1,1,1.00057,-4.54696,-0.00319,0.15996,0,0,220,230,0,0,0,0,0,1.00822,-1.32621,0.00321557,-0.159943,1,0,0,,,,,,,
41,1090,0,1,1,0.999007,-6.59568,0,0,0,0,220,230,0,0,0,0,0,1.0096,-3.38835,-5.05E-05,-4.74E-06,1,0,0,,,,,,,
42,846,0,1,1,1.00007,-6.07825,-0.02149,0.00555,0,0,220,230,0,0,0,0,0,1.01195,-2.82354,0.0215485,-0.00553258,1,0,0,,,,,,,
43,1457,0,1,1,0.992407,-10.2069,0,0,0,0,220,230,0,0,0,0,0,1.02583,-6.84786,-0.000127141,-3.70E-06,1,0,0,,,,,,,
44,1383,0,1,1,0.986417,-8.57958,0,0,0,0,220,230,0,0,0,0,0,1.05462,-5.18803,-0.000101414,-8.35E-07,1,0,0,,,,,,,
45,10903,0,1,1,0.997338,2.86946,0,0,0,0,220,230,0,0,0,0,0,1.02128,5.78599,-2.16E-05,8.10E-06,0,0,0,,,,,,,
46,3314,0,1,1,0.999593,-5.81484,0,0,0,0,220,230,0,0,0,0,0,1.00856,-2.55749,-1.32E-05,-3.40E-06,1,0,0,,,,,,,
47,857,0,1,1,0.997477,-15.9258,0,0,0,0,220,230,0,0,0,0,0,1.02606,-12.489,9.41E-05,8.75E-08,1,0,0,,,,,,,
48,623,0,1,1,0.997177,-15.8848,0,0,0,0,220,230,0,0,0,0,0,1.02618,-12.4546,-0.000281552,-1.99E-05,1,0,0,,,,,,,
49,3092,0,1,1,1.00178,-13.355,0,0,0,0,500,525,0,0,0,0,0,1.02625,-10.0851,9.93E-06,1.34E-05,1,0,0,,,,,,,
50,1638,0,1,1,1.00698,-9.5426,0,0,0,0,220,230,0,0,0,0,0,1.01621,-5.81941,-0.000100907,6.45E-06,1,0,0,,,,,,,
51,884,0,1,1,1.00947,-9.02977,0,0,0,0,220,230,0,0,0,0,0,1.01518,-5.2836,1.62E-05,1.69E-06,1,0,0,,,,,,,
52,1755,0,1,1,0.9953,-14.8273,0,0,0,0,220,230,0,0,0,0,0,1.03215,-11.0631,7.76E-06,-9.57E-06,1,0,0,,,,,,,
53,517,0,1,1,0.99652,-14.7843,0,0,0,0,220,230,0,0,0,0,0,1.03172,-11.0066,4.52E-05,1.71E-06,1,0,0,,,,,,,
54,1000,0,1,1,0.993069,-19.3676,0,0,0,0,220,230,0,0,0,0,0,1.03018,-15.2832,-8.35E-05,0.000269315,1,0,0,,,,,,,
55,570,0,1,1,0.993108,-20.1059,0,0,0,0,220,230,0,0,0,0,0,1.02973,-15.9663,-0.000561263,-7.03E-05,1,0,0,,,,,,,
56,1960,0,1,1,0.988467,-20.1293,0,0,0,0,220,230,0,0,0,0,0,1.02437,-15.9786,-0.000190717,-3.84E-05,1,0,0,,,,,,,
57,1039,0,1,1,1.00214,-15.0151,0,0,0,0,220,230,0,0,0,0,0,1.02163,-11.1793,0.000147474,2.00E-05,1,0,0,,,,,,,
