tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1,2,1,1,1,0,0.000055,0.001198,0.085819,0,0,0,0,0,0,0,0,0,0,0,0,1.5043,-1.47295,-1.50408,1.30077,1,1,1,1
1,2,1,1,1,0,0.000065,0.001219,0.151109,0,0,0,0,0,0,0,0,0,0,0,0,1.46781,-1.52699,-1.46756,1.22003,1,1,1,1
2,3,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,1.55327,0.34796,-1.55158,-1.39641,1,1,1,1
4,5,1,1,1,0,0.000738,0.009575,0.582413,0,0,0,0,0,0,0,0,0,0,0,0,-1.35429,1.12912,1.35563,-0.56268,1,1,1,1
4,5,1,1,1,0,0.000759,0.009541,0.578865,0,0,0,0,0,0,0,0,0,0,0,0,-1.35889,1.13599,1.36028,-0.56228,1,1,1,1
2,6,1,1,1,0,0.000544,0.008073,0.523577,0,0,0,0,0,0,0,0,0,0,0,0,1.47664,0.33358,-1.47509,-1.3842,1,1,1,1
7,8,1,1,1,0,0.000301,0.003585,0.165375,0,0,0,0,0,0,0,0,0,0,0,0,9.18587,1.31926,-9.1606,-1.35733,1,1,1,1
7,8,1,1,1,0,0.00004,0.003585,0.183737,0,0,0,0,0,0,0,0,0,0,0,0,9.08476,1.97085,-9.081389,-2.04446,1,1,1,1
9,5,1,1,1,0,0.00022,0.003583,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03671,-1.05278,-10.014569,1.41351,1,1,1,1
9,5,1,1,1,0,0.00022,0.003583,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03671,-1.05278,-10.014569,1.41351,1,1,1,1
10,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,6.71303,-1.06767,-6.70308,0.79383,1,1,1,1
10,5,1,1,1,0,0.00022,0.003583,0.214905,0,0,0,0,0,0,0,0,0,0,0,0,6.71303,-1.06767,-6.70308,0.79383,1,1,1,1
11,5,1,1,1,0,0.00006,0.001267,0.089923,0,0,0,0,0,0,0,0,0,0,0,0,-1.1093,0.50384,1.10939,-0.68472,1,1,1,1
12,11,1,1,1,0,0.00048,0.009773,0.561815,0,0,0,0,0,0,0,0,0,0,0,0,7.1698,-0.77017,-7.1455,0.12313,1,1,1,1
12,11,1,1,1,0,0.00041,0.009021,0.570427,0,0,0,0,0,0,0,0,0,0,0,0,7.76992,-0.76744,-7.74553,0.14439,1,1,1,1
13,14,1,1,1,0,0.001844,0.010714,0.00968,0,0,0,0,0,0,0,0,0,0,0,0,0.87108,-0.08842,-0.86969,0.07685,1,1,1,1
15,16,1,1,1,0,0.000689,0.006771,0.006951,0,0,0,0,0,0,0,0,0,0,0,0,-0.33024,-0.10468,0.33032,0.09136,1,1,1,1
17,18,1,1,1,0,0.002722,0.013715,0.013378,0,0,0,0,0,0,0,0,0,0,0,0,-0.89266,0.1892,0.89486,-0.20597,1,1,1,1
19,20,1,1,1,0,0.000582,0.008027,0.491718,0,0,0,0,0,0,0,0,0,0,0,0,0.07796,0.1698,-0.07748,0.40964,1,1,1,1
16,21,1,1,1,0,0.001406,0.008544,0.014458,0,0,0,0,0,0,0,0,0,0,0,0,-0.5572,-0.03463,0.55763,0.00782,1,1,1,1
22,21,1,1,1,0,0.003236,0.01569,0.01563,0,0,0,0,0,0,0,0,0,0,0,0,-0.33416,-0.02575,0.33451,-0.00431,1,1,1,1
23,16,1,1,1,0,0.002429,0.013435,0.020641,0,0,0,0,0,0,0,0,0,0,0,0,0.65649,0.04193,-0.65545,-0.07827,1,1,1,1
24,23,1,1,1,0,0.018376,0.079203,0.075309,0,0,0,0,0,0,0,0,0,0,0,0,0.04539,-0.09501,-0.04534,-0.05852,1,1,1,1
25,26,1,1,1,0,0.002735,0.012637,0.009455,0,0,0,0,0,0,0,0,0,0,0,0,-0.52964,0.29786,0.53066,-0.31197,1,1,1,1
25,26,1,1,1,0,0.002174,0.01228,0.010813,0,0,0,0,0,0,0,0,0,0,0,0,-0.56082,0.28675,0.5617,-0.30336,1,1,1,1
25,26,1,1,1,0,0.001435,0.009735,0.012543,0,0,0,0,0,0,0,0,0,0,0,0,-0.72133,0.34385,0.72226,-0.36255,1,1,1,1
27,26,1,1,1,0,0.001321,0.009384,0.012474,0,0,0,0,0,0,0,0,0,0,0,0,-0.81475,0.34443,0.81579,-0.36187,1,1,1,1
28,26,1,1,1,0,0.000979,0.010321,0.013727,0,0,0,0,0,0,0,0,0,0,0,0,-0.48189,-0.18659,0.48215,0.16208,1,1,1,1
28,26,1,1,1,0,0.001301,0.009006,0.012285,0,0,0,0,0,0,0,0,0,0,0,0,-0.55804,-0.18224,0.55849,0.16095,1,1,1,1
29,30,1,1,1,0,0.001427,0.020366,1.148123,0,0,0,0,0,0,0,0,0,0,0,0,-6.25339,1.44636,6.30955,0.50034,1,1,1,1
31,30,1,1,1,0,0.000241,0.003617,0.202704,0,0,0,0,0,0,0,0,0,0,0,0,-3.33696,-0.01695,3.33962,-0.35326,1,1,1,1
31,30,1,1,1,0,0.000259,0.003704,0.202778,0,0,0,0,0,0,0,0,0,0,0,0,-3.25712,-0.01072,3.25985,-0.3606,1,1,1,1
32,33,1,1,1,0,0.004141,0.021017,0.020353,0,0,0,0,0,0,0,0,0,0,0,0,-0.57547,0.12057,0.57691,-0.15437,1,1,1,1
34,33,1,1,1,0,0.003604,0.018745,0.017711,0,0,0,0,0,0,0,0,0,0,0,0,-0.05421,0.08932,0.05426,-0.12487,1,1,1,1
34,35,1,1,1,0,0.008034,0.03782,0.036698,0,0,0,0,0,0,0,0,0,0,0,0,1.12501,-0.12593,-1.11491,0.09949,1,1,1,1
32,35,1,1,1,0,0.005773,0.035979,0.033159,0,0,0,0,0,0,0,0,0,0,0,0,0.88335,-0.06557,-0.87889,0.02663,1,1,1,1
36,37,1,1,1,0,0.020236,0.092942,0.081466,0,0,0,0,0,0,0,0,0,0,0,0,-0.9803,0.08107,1.00059,-0.14978,1,1,1,1
38,32,1,1,1,0,0.010052,0.040208,0.036321,0,0,0,0,0,0,0,0,0,0,0,0,0.28041,0.00269,-0.27962,-0.07323,1,1,1,1
39,40,1,1,1,0,0.000455,0.003124,0.015399,0,0,0,0,0,0,0,0,0,0,0,0,-0.22369,0.04807,0.22372,-0.07897,1,1,1,1
39,40,1,1,1,0,0.000448,0.00313,0.004819,0,0,0,0,0,0,0,0,0,0,0,0,-0.2235,0.05806,0.22352,-0.06762,1,1,1,1
41,42,1,1,1,0,0.000024,0.000298,0.019028,0,0,0,0,0,0,0,0,0,0,0,0,-1.84361,0.36939,1.8437,-0.40703,1,1,1,1
41,42,1,1,1,0,0.000028,0.000335,0.021941,0,0,0,0,0,0,0,0,0,0,0,0,-1.63606,0.33162,1.63613,-0.37531,1,1,1,1
43,44,1,1,1,0,0.004122,0.026468,0.048781,0,0,0,0,0,0,0,0,0,0,0,0,-0.8487,-0.03475,0.8516,-0.04694,1,1,1,1
45,46,1,1,1,0,0.002202,0.011172,0.010823,0,0,0,0,0,0,0,0,0,0,0,0,0.50501,-0.23815,-0.50434,0.21951,1,1,1,1
45,46,1,1,1,0,0.002202,0.011176,0.010823,0,0,0,0,0,0,0,0,0,0,0,0,0.50486,-0.23804,-0.50419,0.2194,1,1,1,1
47,48,1,1,1,0,0.002137,0.011593,0.011585,0,0,0,0,0,0,0,0,0,0,0,0,-0.3924,-0.16069,0.39277,0.13949,1,1,1,1
51,52,1,1,1,0,0.000881,0.007915,0.01451,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0.07724,-1.37834,-0.09185,1,1,1,1
51,52,1,1,1,0,0.000879,0.007915,0.01451,0,0,0,0,0,0,0,0,0,0,0,0,1.38002,0.07763,-1.37837,-0.09224,1,1,1,1
51,53,1,1,1,0,0.004246,0.024726,0.021197,0,0,0,0,0,0,0,0,0,0,0,0,0.71116,0.22973,-0.70879,-0.25869,1,1,1,1
54,51,1,1,1,0,0.002396,0.01139,0.017349,0,0,0,0,0,0,0,0,0,0,0,0,-1.44013,-0.06929,1.44506,0.05755,1,1,1,1
55,56,1,1,1,0,0.001182,0.005947,0.00581,0,0,0,0,0,0,0,0,0,0,0,0,0.13837,0.00275,-0.13834,-0.01451,1,1,1,1
55,56,1,1,1,0,0.001182,0.006221,0.00581,0,0,0,0,0,0,0,0,0,0,0,0,0.13241,0.0035,-0.13239,-0.01526,1,1,1,1
57,58,1,1,1,0,0.007029,0.036024,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,-0.01866,0.0379,0.0187,-0.11016,1,1,1,1
57,58,1,1,1,0,0.006935,0.037856,0.034084,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186,0.03647,0.01864,-0.10431,1,1,1,1
59,60,1,1,1,0,0.004953,0.03051,0.036551,0,0,0,0,0,0,0,0,0,0,0,0,-1.45855,0.07459,1.46909,-0.08352,1,1,1,1
55,61,1,1,1,0,0.001966,0.009962,0.005683,0,0,0,0,0,0,0,0,0,0,0,0,0.10744,0.02381,-0.10741,-0.0353,1,1,1,1
55,24,1,1,1,0,0.003025,0.01535,0.014865,0,0,0,0,0,0,0,0,0,0,0,0,-0.12996,0.05717,0.13003,-0.08719,1,1,1,1
51,62,1,1,1,0,0.002535,0.01606,0.104674,0,0,0,0,0,0,0,0,0,0,0,0,1.74412,-0.03694,-1.73653,-0.12701,1,1,1,1
62,51,1,1,1,0,0.002247,0.021134,0.157935,0,0,0,0,0,0,0,0,0,0,0,0,-1.32595,-0.2428,1.32989,-0.04007,1,1,1,1
59,63,1,1,1,0,0.001629,0.009476,0.01672,0,0,0,0,0,0,0,0,0,0,0,0,-0.21463,-0.03681,0.2147,0.00361,1,1,1,1
64,59,1,1,1,0,0.00287,0.016662,0.029161,0,0,0,0,0,0,0,0,0,0,0,0,0.44105,-0.07891,-0.44049,0.0235,1,1,1,1
65,33,1,1,1,0,0.00222,0.013399,0.029034,0,0,0,0,0,0,0,0,0,0,0,0,1.18649,0.12973,-1.18337,-0.16975,1,1,1,1
65,33,1,1,1,0,0.003399,0.014444,0.029034,0,0,0,0,0,0,0,0,0,0,0,0,1.09329,0.0433,-1.08928,-0.08515,1,1,1,1
66,67,1,1,1,0,0.025662,0.142949,0.128473,0,0,0,0,0,0,0,0,0,0,0,0,-2.05335,0.55963,2.17315,-0.15137,1,1,1,1
68,69,1,1,1,0,0.00482,0.025322,0.025681,0,0,0,0,0,0,0,0,0,0,0,0,0.40724,0.10214,-0.40637,-0.14939,1,1,1,1
70,66,1,1,1,0,0.002427,0.017127,0.034577,0,0,0,0,0,0,0,0,0,0,0,0,-0.47957,0.11551,0.48018,-0.18079,1,1,1,1
70,66,1,1,1,0,0.002622,0.018656,0.034538,0,0,0,0,0,0,0,0,0,0,0,0,-0.44049,0.10273,0.44104,-0.16829,1,1,1,1
71,72,1,1,1,0,0.00225,0.010921,0.010493,0,0,0,0,0,0,0,0,0,0,0,0,0.31017,0.03766,-0.30994,-0.05708,1,1,1,1
71,72,1,1,1,0,0.002081,0.010921,0.010493,0,0,0,0,0,0,0,0,0,0,0,0,0.31033,0.04241,-0.31012,-0.06183,1,1,1,1
73,74,1,1,1,0,0.000958,0.007471,0.013397,0,0,0,0,0,0,0,0,0,0,0,0,-2.37813,0.45705,2.38375,-0.44017,1,1,1,1
75,76,1,1,1,0,0.004469,0.025304,0.02443,0,0,0,0,0,0,0,0,0,0,0,0,-0.36178,-0.08162,0.36239,0.03648,1,1,1,1
75,53,1,1,1,0,0.003682,0.020491,0.019127,0,0,0,0,0,0,0,0,0,0,0,0,-0.20755,-0.20099,0.20783,0.16449,1,1,1,1
75,77,1,1,1,0,0.001499,0.0091,0.022697,0,0,0,0,0,0,0,0,0,0,0,0,0.46842,-0.02914,-0.46809,-0.01379,1,1,1,1
57,78,1,1,1,0,0.007183,0.039792,0.037697,0,0,0,0,0,0,0,0,0,0,0,0,-0.2326,-0.05718,0.23299,-0.01629,1,1,1,1
79,75,1,1,1,0,0.002677,0.01288,0.015244,0,0,0,0,0,0,0,0,0,0,0,0,-1.32294,0.01706,1.32771,-0.02425,1,1,1,1
80,75,1,1,1,0,0.001156,0.011777,0.024682,0,0,0,0,0,0,0,0,0,0,0,0,-2.09897,0.03119,2.10413,-0.02736,1,1,1,1
80,75,1,1,1,0,0.001111,0.011928,0.024499,0,0,0,0,0,0,0,0,0,0,0,0,-2.0736,0.02025,2.07845,-0.01668,1,1,1,1
81,73,1,1,1,0,0.001998,0.015559,0.02737,0,0,0,0,0,0,0,0,0,0,0,0,-1.06922,0.11156,1.07153,-0.14848,1,1,1,1
82,83,1,1,1,0,0.000245,0.001182,0.001501,0,0,0,0,0,0,0,0,0,0,0,0,-0.06512,0.05352,0.06512,-0.05657,1,1,1,1
84,83,1,1,1,0,0.002479,0.013556,0.014977,0,0,0,0,0,0,0,0,0,0,0,0,-1.44362,0.02325,1.44873,-0.02572,1,1,1,1
84,83,1,1,1,0,0.00245,0.01362,0.014271,0,0,0,0,0,0,0,0,0,0,0,0,-1.43767,0.01971,1.44268,-0.02084,1,1,1,1
20,41,1,1,1,0,0.000531,0.006487,0.416086,0,0,0,0,0,0,0,0,0,0,0,0,1.03402,-0.46052,-1.03347,-0.3788,1,1,1,1
20,41,1,1,1,0,0.000482,0.006508,0.407988,0,0,0,0,0,0,0,0,0,0,0,0,1.03156,-0.44419,-1.03106,-0.37868,1,1,1,1
17,85,1,1,1,0,0.00121,0.005856,0.005946,0,0,0,0,0,0,0,0,0,0,0,0,-1.20156,-0.08743,1.20325,0.08321,1,1,1,1
86,87,1,1,1,0,0.001663,0.008255,0.00838,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,-0.01692,-0.00022,-0.00028,1,1,1,1
88,89,1,1,1,0,0.000728,0.005592,0.00858,0,0,0,0,0,0,0,0,0,0,0,0,3.47381,0.02821,-3.46515,0.02093,1,1,1,1
90,91,1,1,1,0,0.001425,0.029332,1.738629,0,0,0,0,0,0,0,0,0,0,0,0,6.6101,-1.33164,-6.54879,2.51973,1,1,1,1
90,91,1,1,1,0,0.001463,0.029333,1.687349,0,0,0,0,0,0,0,0,0,0,0,0,6.60983,-1.28784,-6.54692,2.57994,1,1,1,1
17,92,1,1,1,0,0.010902,0.061732,0.089623,0,0,0,0,0,0,0,0,0,0,0,0,-0.60689,0.06925,0.61103,-0.23176,1,1,1,1
70,93,1,1,1,0,0.009699,0.078701,0.144097,0,0,0,0,0,0,0,0,0,0,0,0,-0.40514,-0.19046,0.40673,-0.08923,1,1,1,1
94,95,1,1,1,0,0.000991,0.005357,0.022532,0,0,0,0,0,0,0,0,0,0,0,0,1.58819,-0.48083,-1.58547,0.45061,1,1,1,1
96,53,1,1,1,0,0.00151,0.007089,0.007423,0,0,0,0,0,0,0,0,0,0,0,0,-0.79728,0.02581,0.79825,-0.03611,1,1,1,1
96,53,1,1,1,0,0.001452,0.008488,0.00767,0,0,0,0,0,0,0,0,0,0,0,0,-0.67166,-0.00688,0.67232,-0.0046,1,1,1,1
58,97,1,1,1,0,0.001695,0.010433,0.015421,0,0,0,0,0,0,0,0,0,0,0,0,0.98208,-0.04679,-0.98044,0.02623,1,1,1,1
58,97,1,1,1,0,0.001706,0.010514,0.015421,0,0,0,0,0,0,0,0,0,0,0,0,0.97453,-0.04634,-0.9729,0.02571,1,1,1,1
62,98,1,1,1,0,0.001248,0.005766,0.10768,0,0,0,0,0,0,0,0,0,0,0,0,0.43894,-0.2397,-0.43868,0.02385,1,1,1,1
62,99,1,1,1,0,0.001248,0.005766,0.116948,0,0,0,0,0,0,0,0,0,0,0,0,0.63528,-0.13456,-0.63478,-0.09865,1,1,1,1
100,101,1,1,1,0,0.000473,0.0027,0.009667,0,0,0,0,0,0,0,0,0,0,0,0,-0.0844,0.17508,0.08442,-0.1943,1,1,1,1
100,101,1,1,1,0,0.000433,0.0027,0.009525,0,0,0,0,0,0,0,0,0,0,0,0,-0.08724,0.17444,0.08726,-0.19337,1,1,1,1
100,95,1,1,1,0,0.000485,0.0028,0.008448,0,0,0,0,0,0,0,0,0,0,0,0,-1.34209,0.69951,1.3432,-0.70995,1,1,1,1
102,103,1,1,1,0,0.000883,0.01242,0.681849,0,0,0,0,0,0,0,0,0,0,0,0,3.13093,-0.47757,-3.12248,1.51442,1,1,1,1
