ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
10,175,1,1,1,0,0.000359,0.001647,0.088608,0,0,0,0,0,0,0,0,0,0,0,0,2.58305,-0.283573,-2.58225,0.205179,1,1,1,1
10,175,1,1,1,0,0.000335,0.001699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
10,175,1,1,1,0,0.00031,0.001699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
10,1290,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,4.26E-14,-1.14E-13,-4.26E-14,1.14E-13,1,1,1,1
10,1293,1,1,1,1,0.0001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.14E-13,1.42E-14,1.14E-13,1,1,1,1
11,12,1,1,1,0,0.00171,0.0098,0.00656,0,0,0,0,0,0,0,0,0,0,0,0,0.278248,0.0796677,-0.278099,-0.0851665,1,1,1,1
11,222,1,1,1,0,0.00028,0.00295,0.00707,0,0,0,0,0,0,0,0,0,0,0,0,-3.38319,-0.722763,3.38518,0.733984,1,1,1,1
11,222,1,1,1,0,0.000363,0.002911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11,359,1,1,1,1,0.001005,0.08264,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,0.00157554,0.149548,-0.00155102,-0.147532,1,1,1,1
11,362,1,1,1,1,0.000998,0.08578,0,0,0,0,0,0,1.0163,0,0,0,0,0,0,-1.46E-05,-1.89E-06,1.46E-05,1.89E-06,1,1,1,1
11,1112,1,1,1,1,1.00E-06,0.08403,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,-0.00154563,-0.146152,0.00154565,0.147846,1,1,1,1
12,795,1,1,1,1,0.00198,0.12008,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,6.58E-07,-9.09E-07,-6.58E-07,9.09E-07,1,1,1,1
12,798,1,1,1,1,0.00192,0.11908,0,0,0,0,0,0,0.95652,0,0,0,0,0,0,6.76E-07,-8.51E-07,-6.76E-07,8.51E-07,1,1,1,1
13,14,1,1,1,0,0.002119,0.011681,0.020927,0,0,0,0,0,0,0,0,0,0,0,0,-0.222414,-0.069215,0.222531,0.049752,1,1,1,1
13,15,1,1,1,0,0.001871,0.01086,0.00844,0,0,0,0,0,0,0,0,0,0,0,0,-0.447606,-0.0345417,0.447999,0.0287098,1,1,1,1
13,412,1,1,1,1,0.001445,0.11875,0,0,0,0,0,0,1.0625,0,0,0,0,0,0,-7.46E-05,-5.63E-06,7.46E-05,5.63E-06,1,1,1,1
14,882,1,1,1,1,0.001072,0.074999,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,-0.00289275,-0.324693,0.00301125,0.332984,1,1,1,1
14,1059,1,1,1,1,0,0.08214,0,0,0,0,0,0,1.0043,0,0,0,0,0,0,0.00304367,0.341642,-0.00304367,-0.33159,1,1,1,1
15,196,1,1,1,0,0.00133,0.00915,0.015341,0,0,0,0,0,0,0,0,0,0,0,0,0.128571,0.0100127,-0.128558,-0.044014,1,1,1,1
15,196,1,1,1,0,0.00169,0.01067,0.020102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
15,210,1,1,1,0,0.001163,0.006654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546817,0.0639641,-0.54645,-0.0618678,1,1,1,1
15,930,1,1,1,1,0.001276,0.1225,0,0,0,0,0,0,1.0163,0,0,0,0,0,0,-4.84E-05,-5.30E-06,4.84E-05,5.30E-06,1,1,1,1
15,933,1,1,1,1,0.001445,0.1264,0,0,0,0,0,0,1.0163,0,0,0,0,0,0,-1.86E-05,-2.23E-06,1.86E-05,2.23E-06,1,1,1,1
16,17,1,1,1,0,0.00139,0.00884,0.02222,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262544,-0.37143,0.0264456,0.351423,1,1,1,1
16,20,1,1,1,0,0.00114,0.00698,0.01173,0,0,0,0,0,0,0,0,0,0,0,0,-0.915471,0.2727,0.916039,-0.293349,1,1,1,1
16,20,1,1,1,0,0.00121,0.00696,0.01351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
16,199,1,1,1,0,0.00137,0.01135,0.017991,0,0,0,0,0,0,0,0,0,0,0,0,-1.13477,-0.418911,1.13686,0.419034,1,1,1,1
16,394,1,1,1,1,0.000912,0.08681,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,-9.00E-06,-1.33E-06,9.00E-06,1.33E-06,1,1,1,1
16,397,1,1,1,1,0.000912,0.08656,0,0,0,0,0,0,0.99239,0,0,0,0,0,0,-9.02E-06,-1.33E-06,9.02E-06,1.33E-06,1,1,1,1
17,21,1,1,1,0,0.00072,0.0045,0.00902,0,0,0,0,0,0,0,0,0,0,0,0,1.19585,0.0118686,-1.19477,-0.0137883,1,1,1,1
17,22,1,1,1,0,0.0007,0.00445,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0.968994,-0.0272432,-0.968307,0.0235604,1,1,1,1
17,386,1,1,1,1,0.000406,0.05322,0,0,0,0,0,0,0.98043,0,0,0,0,0,0,-3.87E-06,-5.48E-07,3.87E-06,5.48E-07,1,1,1,1
17,389,1,1,1,1,0.000336,0.053528,0,0,0,0,0,0,0.98043,0,0,0,0,0,0,-1.95E-05,-2.28E-06,1.95E-05,2.28E-06,1,1,1,1
18,19,1,1,1,0,0.00158,0.01094,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,2.23278,0.409484,-2.22839,-0.407896,1,1,1,1
18,19,1,1,1,0,0.001739,0.009862,0.013103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
18,170,1,1,1,0,0.00182,0.00728,0.00829,0,0,0,0,0,0,0,0,0,0,0,0,0.13449,0.00282794,-0.134457,-0.010842,1,1,1,1
