tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,limit,ioff,joff,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,
42,44,0,1,1,0,0.006574,0.026298,0.001712,0,0,0,0,0,0,0,0,0,0,0,0,0.18373,0.01134,-0.18351,-0.01391,445,0,0,1,1,1,1,,,,,0.026298
34,45,0,1,1,0,0.006584,0.026337,0.001715,0,0,0,0,0,0,0,0,0,0,0,0,0.07762,-0.0262,-0.07758,0.02286,445,0,0,1,1,1,1,,,,,0.026337
34,46,0,1,1,0,0.00524,0.020961,0.001295,0,0,0,0,0,0,0,0,0,0,0,0,0.11109,0.01367,-0.11103,-0.01605,515,0,0,1,1,1,1,,,,,0.020961
34,47,0,1,1,0,0.014863,0.059451,0.003153,0,0,0,0,0,0,0,0,0,0,0,0,0.24205,-0.02312,-0.2412,0.02012,610,0,0,1,1,1,1,,,,,0.059451
17,1,0,1,1,0,0.001255,0.009538,0.016243,0,0,0,0,0,0,0,0,0,0,0,0,0.80032,0.04109,-0.7995,-0.06652,800,0,0,1,1,1,1,,,,,0.009538
17,1,0,1,1,0,0.001255,0.009538,0.016243,0,0,0,0,0,0,0,0,0,0,0,0,0.80032,0.04109,-0.7995,-0.06652,800,0,0,1,1,1,1,,,,,0.009538
48,49,0,1,1,0,0.013204,0.052815,0.003438,0,0,0,0,0,0,0,0,0,0,0,0,0.08489,-0.0216,-0.08479,0.01525,445,0,0,1,1,1,1,,,,,0.052815
50,51,0,1,1,0,0.015189,0.060758,0.003222,0,0,0,0,0,0,0,0,0,0,0,0,0.05252,-0.0479,-0.05244,0.04195,610,0,0,1,1,1,1,,,,,0.060758
52,53,0,1,1,0,0.015189,0.060758,0.003222,0,0,0,0,0,0,0,0,0,0,0,0,0.0281,-0.00119,-0.02808,-0.00499,610,0,0,1,1,1,1,,,,,0.060758
3,50,0,1,1,0,0.007186,0.028746,0.001525,0,0,0,0,0,0,0,0,0,0,0,0,0.15193,-0.0425,-0.15175,0.04028,610,0,0,1,1,1,1,,,,,0.028746
3,52,0,1,1,0,0.007186,0.028746,0.001525,0,0,0,0,0,0,0,0,0,0,0,0,0.0526,-0.03148,-0.05257,0.02864,610,0,0,1,1,1,1,,,,,0.028746
29,54,0,1,1,0,0.031767,0.127068,0.006739,0,0,0,0,0,0,0,0,0,0,0,0,-0.04506,-0.01598,0.04513,0.00273,610,0,0,1,1,1,1,,,,,0.127068
29,55,0,1,1,0,0.032665,0.130662,0.00693,0,0,0,0,0,0,0,0,0,0,0,0,-0.00029,-0.0781,0.00046,0.06477,610,0,0,1,1,1,1,,,,,0.130662
7,56,0,1,1,0,0.000472,0.00189,0.02645,0,0,0,0,0,0,0,0,0,0,0,0,-0.92863,0.09686,0.92905,-0.14771,1600,0,0,1,1,1,1,,,,,0.00189
7,56,0,1,1,0,0.000482,0.001928,0.02116,0,0,0,0,0,0,0,0,0,0,0,0,-0.91042,0.09969,0.91083,-0.14007,1600,0,0,1,1,1,1,,,,,0.001928
1,57,0,1,1,0,0.000292,0.002223,0.003785,0,0,0,0,0,0,0,0,0,0,0,0,-0.52444,0.16526,0.52453,-0.17195,800,0,0,1,1,1,1,,,,,0.002223
1,57,0,1,1,0,0.000292,0.002223,0.003785,0,0,0,0,0,0,0,0,0,0,0,0,-0.52444,0.16526,0.52453,-0.17195,800,0,0,1,1,1,1,,,,,0.002223
7,17,0,1,1,0,0.002475,0.018809,0.062687,0,0,0,0,0,0,0,0,0,0,0,0,1.75231,0.13307,-1.74456,-0.19769,1600,0,0,1,1,1,1,,,,,0.018809
