tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,limit,ioff,joff,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,
30,135,0,1,1,1,0.007252,0.1936,0,0,0,0,0,0,0.908385,0,0,0,0,0,0,0.00224,0.02033,-0.00224,-0.02026,0,0,0,1,1,1,1,,,,,0.1936
54,136,0,1,1,1,0.007266,0.211,0,0,0,0,0,0,0.9875,0,0,0,0,0,0,-0.03357,-0.00186,0.03358,0.00209,0,0,0,1,1,1,1,,,,,0.211
54,137,0,1,1,1,0.006924,0.2064,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0117,-0.00085,0.0117,0.00088,0,0,0,1,1,1,1,,,,,0.2064
99,138,0,1,1,1,0.000263,0.039913,0,0,0,0,0,0,1.127329,0,0,0,0,0,0,-2.40214,0.53352,2.40418,-0.22393,0,0,0,1,1,1,1,,,,,0.039913
94,139,0,1,1,1,0.005611,0.169682,0,0,0,0,0,0,1.022727,0,0,0,0,0,0,-0.01257,0.00451,0.01257,-0.00448,0,0,0,1,1,1,1,,,,,0.169682
31,140,0,1,1,1,0.008312,0.237356,0,0,0,0,0,0,1.037655,0,0,0,0,0,0,0.0034,0.01706,-0.00339,-0.01698,0,0,0,1,1,1,1,,,,,0.237356
71,141,0,1,1,1,0.002389,0.111537,0,0,0,0,0,0,1.039733,0,0,0,0,0,0,0.00152,0.01857,-0.00151,-0.01853,0,0,0,1,1,1,1,,,,,0.111537
28,142,0,1,1,1,0.007125,0.196162,0,0,0,0,0,0,0.908385,0,0,0,0,0,0,0.00251,0.08253,-0.00247,-0.0814,0,0,0,1,1,1,1,,,,,0.196162
77,143,0,1,1,1,0.000224,0.041889,0,0,0,0,0,0,1.127329,0,0,0,0,0,0,-1.94365,0.80222,1.94494,-0.56215,0,0,0,1,1,1,1,,,,,0.041889
71,144,0,1,1,1,0.002472,0.115043,0,0,0,0,0,0,1.039733,0,0,0,0,0,0,0.00166,0.02,-0.00166,-0.01995,0,0,0,1,1,1,1,,,,,0.115043
85,145,0,1,1,1,0.007933,0.213849,0,0,0,0,0,0,1.090062,0,0,0,0,0,0,0.00161,-0.04586,-0.0016,0.04639,0,0,0,1,1,1,1,,,,,0.213849
70,146,0,1,1,1,0.007872,0.2068,0,0,0,0,0,0,1.022727,0,0,0,0,0,0,-0.00689,-0.00003,0.00689,0.00004,0,0,0,1,1,1,1,,,,,0.2068
94,147,0,1,1,1,0.005563,0.166508,0,0,0,0,0,0,1.022727,0,0,0,0,0,0,-0.01435,-0.00113,0.01435,0.00116,0,0,0,1,1,1,1,,,,,0.166508
70,148,0,1,1,1,0.007872,0.2106,0,0,0,0,0,0,0.974026,0,0,0,0,0,0,-0.00461,0.00444,0.00461,-0.00444,0,0,0,1,1,1,1,,,,,0.2106
100,149,0,1,1,1,0.007676,0.214,0,0,0,0,0,0,0.974026,0,0,0,0,0,0,-0.20816,-0.0737,0.20853,0.08384,0,0,0,1,1,1,1,,,,,0.214
97,150,0,1,1,1,0.007772,0.214,0,0,0,0,0,0,1.020408,0,0,0,0,0,0,-0.01307,-0.01694,0.01307,0.01705,0,0,0,1,1,1,1,,,,,0.214
98,151,0,1,1,1,0.00736,0.21,0,0,0,0,0,0,1.020408,0,0,0,0,0,0,-0.09811,0.03291,0.09819,-0.03053,0,0,0,1,1,1,1,,,,,0.21
98,152,0,1,1,1,0.00736,0.21,0,0,0,0,0,0,1.020408,0,0,0,0,0,0,-0.25429,0.05952,0.25482,-0.04435,0,0,0,1,1,1,1,,,,,0.21
85,153,0,1,1,1,0.007963,0.21509,0,0,0,0,0,0,1.090062,0,0,0,0,0,0,0.00083,0.0023,-0.00083,-0.00229,0,0,0,1,1,1,1,,,,,0.21509
85,154,0,1,1,1,0.007829,0.223578,0,0,0,0,0,0,1.090062,0,0,0,0,0,0,-0.02599,0.05637,0.02603,-0.05536,0,0,0,1,1,1,1,,,,,0.223578
85,155,0,1,1,1,0.007829,0.221509,0,0,0,0,0,0,1.090062,0,0,0,0,0,0,-0.0028,-0.03223,0.00281,0.0325,0,0,0,1,1,1,1,,,,,0.221509
71,156,0,1,1,1,0.002451,0.11329,0,0,0,0,0,0,1.039733,0,0,0,0,0,0,0.00224,-0.11702,-0.00221,0.11869,0,0,0,1,1,1,1,,,,,0.11329
107,157,0,1,1,1,0.004237,0.15375,0,0,0,0,0,0,1.010552,0,0,0,0,0,0,-0.01537,-0.01473,0.01538,0.0148,0,0,0,1,1,1,1,,,,,0.15375
100,158,0,1,1,1,0.007996,0.214,0,0,0,0,0,0,0.974026,0,0,0,0,0,0,-0.09309,-0.02426,0.09316,0.02619,0,0,0,1,1,1,1,,,,,0.214
109,159,0,1,1,1,0.00754,0.2032,0,0,0,0,0,0,1.010552,0,0,0,0,0,0,-0.03249,-0.02349,0.0325,0.02383,0,0,0,1,1,1,1,,,,,0.2032
2,160,0,1,1,1,0.001795,0.0938,0,0,0,0,0,0,1.010552,0,0,0,0,0,0,0.00189,0.00606,-0.00189,-0.00606,0,0,0,1,1,1,1,,,,,0.0938
4,161,0,1,1,1,0.008136,0.2042,0,0,0,0,0,0,1.013513,0,0,0,0,0,0,0.00176,-0.06299,-0.00172,0.06385,0,0,0,1,1,1,1,,,,,0.2042
4,162,0,1,1,1,0.008136,0.2042,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00134,-0.09311,-0.00126,0.09495,0,0,0,1,1,1,1,,,,,0.2042
6,163,0,1,1,1,0.000154,0.011564,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00243,-0.07086,-0.00243,0.07092,0,0,0,1,1,1,1,,,,,0.011564
5,164,0,1,1,1,0.001912,0.0938,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00341,0.0579,-0.00341,-0.05758,0,0,0,1,1,1,1,,,,,0.0938
14,165,0,1,1,1,0.004278,0.197077,0,0,0,0,0,0,0.980435,0,0,0,0,0,0,0.1263,0.0432,0,0,0,0,0,1,1,1,1,,,,,0.197077
166,165,0,1,1,1,0.002805,0.01226,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.06425,-0.00982,0,0,0,0,0,1,1,1,1,,,,,-0.01226
167,165,0,1,1,1,0.003333,0.134861,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.06205,-0.02919,0,0,0,0,0,1,1,1,1,,,,,0.134861
12,168,0,1,1,1,0.011208,0.325164,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.13999,0.03281,0,0,0,0,0,1,1,1,1,,,,,0.325164
117,168,0,1,1,1,0.004393,0.017573,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.07674,0.00663,0,0,0,0,0,1,1,1,1,,,,,-0.017573
169,168,0,1,1,1,0.008303,0.208692,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.06316,-0.03144,0,0,0,0,0,1,1,1,1,,,,,0.208692
48,170,0,1,1,1,0.004302,0.196711,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.07366,0.01375,0,0,0,0,0,1,1,1,1,,,,,0.196711
171,170,0,1,1,1,0.002144,0.008575,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.02592,-0.00683,0,0,0,0,0,1,1,1,1,,,,,-0.008575
172,170,0,1,1,1,0.003331,0.123516,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.04755,-0.00556,0,0,0,0,0,1,1,1,1,,,,,0.123516
64,173,0,1,1,1,0.004302,0.196711,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.02475,-0.00199,0,0,0,0,0,1,1,1,1,,,,,0.196711
174,173,0,1,1,1,0.002144,0.008575,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.00056,0.00428,0,0,0,0,0,1,1,1,1,,,,,-0.008575
175,173,0,1,1,1,0.003331,0.123516,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.02424,-0.00211,0,0,0,0,0,1,1,1,1,,,,,0.123516
15,176,0,1,1,1,0.007431,0.31587,0,0,0,0,0,0,0.985217,0,0,0,0,0,0,0.0994,0.01272,0,0,0,0,0,1,1,1,1,,,,,0.31587
177,176,0,1,1,1,0.004103,0.016411,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.02266,0.0026,0,0,0,0,0,1,1,1,1,,,,,-0.016411
178,176,0,1,1,1,0.006781,0.197946,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.07673,-0.01082,0,0,0,0,0,1,1,1,1,,,,,0.197946
13,179,0,1,1,1,0.008787,0.30004,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.07157,0.00091,0,0,0,0,0,1,1,1,1,,,,,0.30004
112,179,0,1,1,1,0.004792,0.01917,0,0,0,0,0,0,1.026667,0,0,0,0,0,0,-0.04519,0.00571,0,0,0,0,0,1,1,1,1,,,,,-0.01917
180,179,0,1,1,1,0.006796,0.199543,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.02585,-0.00476,0,0,0,0,0,1,1,1,1,,,,,0.199543
25,181,0,1,1,1,0.004281,0.20156,0,0,0,0,0,0,1.040217,0,0,0,0,0,0,0.09134,-0.03876,0,0,0,0,0,1,1,1,1,,,,,0.20156
182,181,0,1,1,1,0.003175,0.013084,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.05487,-0.0092,0,0,0,0,0,1,1,1,1,,,,,-0.013084
183,181,0,1,1,1,0.003342,0.133123,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.03654,0.05056,0,0,0,0,0,1,1,1,1,,,,,0.133123
24,184,0,1,1,1,0.010785,0.310497,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.08069,-0.0418,0,0,0,0,0,1,1,1,1,,,,,0.310497
185,184,0,1,1,1,0.00472,0.01888,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.02139,-0.00416,0,0,0,0,0,1,1,1,1,,,,,-0.01888
186,184,0,1,1,1,0.008421,0.214647,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.05913,0.05026,0,0,0,0,0,1,1,1,1,,,,,0.214647
102,187,0,1,1,1,0.005294,0.205494,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.17955,0.03513,0,0,0,0,0,1,1,1,1,,,,,0.205494
188,187,0,1,1,1,0.003065,0.01226,0,0,0,0,0,0,1.026667,0,0,0,0,0,0,-0.06248,-0.01391,0,0,0,0,0,1,1,1,1,,,,,-0.01226
189,187,0,1,1,1,0.003818,0.129189,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.11658,-0.01248,0,0,0,0,0,1,1,1,1,,,,,0.129189
26,190,0,1,1,1,0.005252,0.205403,0,0,0,0,0,0,0.968478,0,0,0,0,0,0,0.11599,0.0334,0,0,0,0,0,1,1,1,1,,,,,0.205403
191,190,0,1,1,1,0.003042,0.012169,0,0,0,0,0,0,1.026667,0,0,0,0,0,0,-0.03996,-0.00639,0,0,0,0,0,1,1,1,1,,,,,-0.012169
192,190,0,1,1,1,0.00377,0.129463,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.07668,-0.02334,0,0,0,0,0,1,1,1,1,,,,,0.129463
50,193,0,1,1,1,0.005473,0.30513,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.09925,0.00762,0,0,0,0,0,1,1,1,1,,,,,0.30513
194,193,0,1,1,1,0.004857,0.069626,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.05313,0.00671,0,0,0,0,0,1,1,1,1,,,,,-0.069626
195,193,0,1,1,1,0.002068,0.21748,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.04605,-0.01095,0,0,0,0,0,1,1,1,1,,,,,0.21748
52,196,0,1,1,1,0.005473,0.30513,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.02449,-0.0274,0,0,0,0,0,1,1,1,1,,,,,0.30513
197,196,0,1,1,1,0.004857,0.069626,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.00043,0.01986,0,0,0,0,0,1,1,1,1,,,,,-0.069626
198,196,0,1,1,1,0.002068,0.21748,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.02406,0.00799,0,0,0,0,0,1,1,1,1,,,,,0.21748
44,199,0,1,1,1,0.004322,0.197077,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.19506,0.02018,0,0,0,0,0,1,1,1,1,,,,,0.197077
125,199,0,1,1,1,0.002818,0.01226,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.07238,-0.02489,0,0,0,0,0,1,1,1,1,,,,,-0.01226
200,199,0,1,1,1,0.003281,0.134861,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.12254,0.01458,0,0,0,0,0,1,1,1,1,,,,,0.134861
45,201,0,1,1,1,0.004283,0.19726,0,0,0,0,0,0,1.040217,0,0,0,0,0,0,0.10447,-0.01543,0,0,0,0,0,1,1,1,1,,,,,0.19726
122,201,0,1,1,1,0.002762,0.014273,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.01728,-0.00752,0,0,0,0,0,1,1,1,1,,,,,-0.014273
202,201,0,1,1,1,0.003339,0.135227,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.08719,0.02646,0,0,0,0,0,1,1,1,1,,,,,0.135227
33,203,0,1,1,1,0.009451,0.305704,0,0,0,0,0,0,0.999565,0,0,0,0,0,0,0.19262,0.01867,0,0,0,0,0,1,1,1,1,,,,,0.305704
204,203,0,1,1,1,0.004719,0.021639,0,0,0,0,0,0,1.026667,0,0,0,0,0,0,-0.02657,-0.00108,0,0,0,0,0,1,1,1,1,,,,,-0.021639
205,203,0,1,1,1,0.006316,0.202593,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.16529,-0.00031,0,0,0,0,0,1,1,1,1,,,,,0.202593
41,206,0,1,1,1,0.007459,0.193234,0,0,0,0,0,0,0.979296,0,0,0,0,0,0,0.05877,0.00928,-0.05875,-0.00864,0,0,0,1,1,1,1,,,,,0.193234
69,207,0,1,1,1,0.012863,0.281741,0,0,0,0,0,0,0.945135,0,0,0,0,0,0,0.09636,0.01572,-0.09624,-0.01326,0,0,0,1,1,1,1,,,,,0.281741
68,208,0,1,1,1,0.007156,0.191953,0,0,0,0,0,0,0.951967,0,0,0,0,0,0,0.1118,0.02138,-0.11172,-0.01907,0,0,0,1,1,1,1,,,,,0.191953
43,209,0,1,1,1,0.007776,0.191038,0,0,0,0,0,0,0.938302,0,0,0,0,0,0,0.1214,0.01195,-0.12129,-0.00947,0,0,0,1,1,1,1,,,,,0.191038
1,210,0,1,1,1,0.0007,0.081327,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.81623,0.01443,0,0,0,0,0,1,1,1,1,,,,,0.081327
3,210,0,1,1,1,0.0007,0.008234,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.74332,-0.0286,0,0,0,0,0,1,1,1,1,,,,,-0.008234
211,210,0,1,1,1,0.001643,0.139375,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.07208,0.06691,0,0,0,0,0,1,1,1,1,,,,,0.139375
1,212,0,1,1,1,0.000964,0.081226,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.82166,0.01494,0,0,0,0,0,1,1,1,1,,,,,0.081226
3,212,0,1,1,1,0.000436,0.008438,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.76972,-0.0342,0,0,0,0,0,1,1,1,1,,,,,-0.008438
213,212,0,1,1,1,0.001907,0.140188,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.05103,0.07194,0,0,0,0,0,1,1,1,1,,,,,0.140188
17,214,0,1,1,1,0.002055,0.117607,0,0,0,0,0,0,0.985217,0,0,0,0,0,0,0.37462,0.08258,0,0,0,0,0,1,1,1,1,,,,,0.117607
18,214,0,1,1,1,0.000996,0.007815,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.20387,-0.02283,0,0,0,0,0,1,1,1,1,,,,,-0.007815
215,214,0,1,1,1,0.002069,0.06538,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.17039,-0.0408,0,0,0,0,0,1,1,1,1,,,,,0.06538
17,216,0,1,1,1,0.001766,0.117569,0,0,0,0,0,0,0.985217,0,0,0,0,0,0,0.38979,0.08786,0,0,0,0,0,1,1,1,1,,,,,0.117569
18,216,0,1,1,1,0.000802,0.009302,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.35924,-0.07733,0,0,0,0,0,1,1,1,1,,,,,-0.009302
217,216,0,1,1,1,0.002067,0.066943,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.03023,0.00685,0,0,0,0,0,1,1,1,1,,,,,0.066943
9,218,0,1,1,1,0.000866,0.078303,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.76511,-0.08608,0,0,0,0,0,1,1,1,1,,,,,0.078303
34,218,0,1,1,1,0.000284,0.007752,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.72557,0.04574,0,0,0,0,0,1,1,1,1,,,,,-0.007752
219,218,0,1,1,1,0.001305,0.077998,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.03879,0.08303,0,0,0,0,0,1,1,1,1,,,,,0.077998
79,220,0,1,1,1,0.003845,0.204945,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.10362,0.00132,0,0,0,0,0,1,1,1,1,,,,,0.204945
221,220,0,1,1,1,0.002882,0.01226,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.06123,-0.02296,0,0,0,0,0,1,1,1,1,,,,,-0.01226
222,220,0,1,1,1,0.003625,0.131567,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.0424,0.02416,0,0,0,0,0,1,1,1,1,,,,,0.131567
80,223,0,1,1,1,0.003845,0.204945,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.20909,0.04395,0,0,0,0,0,1,1,1,1,,,,,0.204945
224,223,0,1,1,1,0.002882,0.01226,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.11462,-0.00128,0,0,0,0,0,1,1,1,1,,,,,-0.01226
225,223,0,1,1,1,0.003625,0.131567,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.09435,-0.03187,0,0,0,0,0,1,1,1,1,,,,,0.131567
21,226,0,1,1,1,0.007489,0.192136,0,0,0,0,0,0,0.945135,0,0,0,0,0,0,0.0977,0.0429,-0.09762,-0.04089,0,0,0,1,1,1,1,,,,,0.192136
21,227,0,1,1,1,0.007473,0.202383,0,0,0,0,0,0,0.945135,0,0,0,0,0,0,0.10789,0.03969,-0.1078,-0.03724,0,0,0,1,1,1,1,,,,,0.202383
11,228,0,1,1,1,0.001778,0.107733,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.20619,0.07402,0,0,0,0,0,1,1,1,1,,,,,0.107733
23,228,0,1,1,1,0.000993,0.005566,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0796,-0.0478,0,0,0,0,0,1,1,1,1,,,,,-0.005566
229,228,0,1,1,1,0.001691,0.061529,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.12615,-0.02003,0,0,0,0,0,1,1,1,1,,,,,0.061529
11,230,0,1,1,1,0.00216,0.119856,0,0,0,0,0,0,1.040313,0,0,0,0,0,0,0.1711,0.08857,0,0,0,0,0,1,1,1,1,,,,,0.119856
23,230,0,1,1,1,0.00104,0.004498,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.144,-0.08591,0,0,0,0,0,1,1,1,1,,,,,-0.004498
231,230,0,1,1,1,0.001431,0.067171,0,0,0,0,0,0,1.1,0,0,0,0,0,0,-0.02561,0.00217,0,0,0,0,0,1,1,1,1,,,,,0.067171
10,232,0,1,1,1,0.001819,0.112804,0,0,0,0,0,0,0.999565,0,0,0,0,0,0,0.11415,-0.00441,0,0,0,0,0,1,1,1,1,,,,,0.112804
29,232,0,1,1,1,0.00102,0.004079,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.11382,0.00584,0,0,0,0,0,1,1,1,1,,,,,-0.004079
10,233,0,1,1,1,0.00181,0.112384,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.09822,-0.0441,0,0,0,0,0,1,1,1,1,,,,,0.112384
29,233,0,1,1,1,0.001029,0.004117,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.00153,0.0448,0,0,0,0,0,1,1,1,1,,,,,-0.004117
234,233,0,1,1,1,0.001458,0.059166,0,0,0,0,0,0,1.026667,0,0,0,0,0,0,-0.09861,0.00139,0,0,0,0,0,1,1,1,1,,,,,0.059166
8,235,0,1,1,1,0.000995,0.078405,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.47414,-0.00939,0,0,0,0,0,1,1,1,1,,,,,0.078405
42,235,0,1,1,1,0.000415,0.007853,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.42165,-0.05012,0,0,0,0,0,1,1,1,1,,,,,-0.007853
236,235,0,1,1,1,0.001175,0.078049,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.05227,0.07622,0,0,0,0,0,1,1,1,1,,,,,0.078049
56,237,0,1,1,1,0.001592,0.108763,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.28097,-0.11136,0,0,0,0,0,1,1,1,1,,,,,0.108763
63,237,0,1,1,1,0.000962,0.007586,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.22765,0.11425,0,0,0,0,0,1,1,1,1,,,,,-0.007586
238,237,0,1,1,1,0.001095,0.07247,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.05326,0.00705,0,0,0,0,0,1,1,1,1,,,,,0.07247
56,239,0,1,1,1,0.001592,0.108801,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.28298,-0.11016,0,0,0,0,0,1,1,1,1,,,,,0.108801
63,239,0,1,1,1,0.000949,0.007624,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.2545,0.09442,0,0,0,0,0,1,1,1,1,,,,,-0.007624
240,239,0,1,1,1,0.001096,0.072737,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.02841,0.02561,0,0,0,0,0,1,1,1,1,,,,,0.072737
61,241,0,1,1,1,0.003126,0.078481,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.4992,0.04336,0,0,0,0,0,1,1,1,1,,,,,0.078481
62,241,0,1,1,1,0.000545,0.006252,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.49821,-0.02594,0,0,0,0,0,1,1,1,1,,,,,-0.006252
242,241,0,1,1,1,0.000682,0.047983,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.00004,0.00136,0,0,0,0,0,1,1,1,1,,,,,0.047983
61,243,0,1,1,1,0.003136,0.078735,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.49152,0.04291,0,0,0,0,0,1,1,1,1,,,,,0.078735
62,243,0,1,1,1,0.000545,0.006252,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.42311,-0.01529,0,0,0,0,0,1,1,1,1,,,,,-0.006252
244,243,0,1,1,1,0.000668,0.048136,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.06753,-0.00871,0,0,0,0,0,1,1,1,1,,,,,0.048136
57,245,0,1,1,1,0.000986,0.071898,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.71987,0.12243,0,0,0,0,0,1,1,1,1,,,,,0.071898
36,245,0,1,1,1,0.00046,0.00643,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.70378,-0.09528,0,0,0,0,0,1,1,1,1,,,,,-0.00643
246,245,0,1,1,1,0.000981,0.042671,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.01512,0.00825,0,0,0,0,0,1,1,1,1,,,,,0.042671
57,247,0,1,1,1,0.000706,0.070907,0,0,0,0,0,0,1.040313,0,0,0,0,0,0,0.64851,0.16595,0,0,0,0,0,1,1,1,1,,,,,0.070907
36,247,0,1,1,1,0.000182,0.005388,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.59027,-0.12729,0,0,0,0,0,1,1,1,1,,,,,-0.005388
248,247,0,1,1,1,0.00087,0.049864,0,0,0,0,0,0,1.1,0,0,0,0,0,0,-0.05734,-0.00556,0,0,0,0,0,1,1,1,1,,,,,0.049864
65,249,0,1,1,1,0.007674,0.327488,0,0,0,0,0,0,1.004348,0,0,0,0,0,0,0.06019,0.00371,0,0,0,0,0,1,1,1,1,,,,,0.327488
250,249,0,1,1,1,0.005192,0.020768,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.00588,0.01367,0,0,0,0,0,1,1,1,1,,,,,-0.020768
251,249,0,1,1,1,0.005855,0.210725,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.05431,-0.01548,0,0,0,0,0,1,1,1,1,,,,,0.210725
10,252,0,1,1,1,0.000993,0.075635,0,0,0,0,0,0,1.028261,0,0,0,0,0,0,-0.07423,0.05418,0,0,0,0,0,1,1,1,1,,,,,0.075635
27,252,0,1,1,1,0.000504,0.005032,0,0,0,0,0,0,1.026087,0,0,0,0,0,0,0.07451,-0.05357,0,0,0,0,0,1,1,1,1,,,,,-0.005032
72,253,0,1,1,1,0.004271,0.208513,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.05821,0.00324,0,0,0,0,0,1,1,1,1,,,,,0.208513
254,253,0,1,1,1,0.002777,0.012901,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.03613,0.0042,0,0,0,0,0,1,1,1,1,,,,,-0.012901
255,253,0,1,1,1,0.003428,0.132757,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.02192,-0.0067,0,0,0,0,0,1,1,1,1,,,,,0.132757
73,256,0,1,1,1,0.004271,0.208696,0,0,0,0,0,0,0.992391,0,0,0,0,0,0,0.06548,0.0126,0,0,0,0,0,1,1,1,1,,,,,0.208696
257,256,0,1,1,1,0.002777,0.012901,0,0,0,0,0,0,0.98,0,0,0,0,0,0,-0.02685,0.00031,0,0,0,0,0,1,1,1,1,,,,,-0.012901
258,256,0,1,1,1,0.003428,0.132757,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.03846,-0.01179,0,0,0,0,0,1,1,1,1,,,,,0.132757
103,259,0,1,1,1,0.007638,0.311626,0,0,0,0,0,0,0.945135,0,0,0,0,0,0,-0.00079,-0.00182,0.00079,0.00182,0,0,0,1,1,1,1,,,,,0.311626
104,260,0,1,1,1,0.007638,0.312724,0,0,0,0,0,0,0.956522,0,0,0,0,0,0,0.04796,0.00501,-0.04794,-0.00434,0,0,0,1,1,1,1,,,,,0.312724
76,261,0,1,1,1,0.00089,0.073703,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.42202,0.06267,0,0,0,0,0,1,1,1,1,,,,,0.073703
114,261,0,1,1,1,0.000479,0.002541,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.38922,-0.13568,0,0,0,0,0,1,1,1,1,,,,,-0.002541
262,261,0,1,1,1,0.001205,0.043205,0,0,0,0,0,0,1.05,0,0,0,0,0,0,-0.03253,0.08693,0,0,0,0,0,1,1,1,1,,,,,0.043205
76,263,0,1,1,1,0.000915,0.073703,0,0,0,0,0,0,1.016304,0,0,0,0,0,0,0.42283,0.06238,0,0,0,0,0,1,1,1,1,,,,,0.073703
114,263,0,1,1,1,0.000476,0.002541,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.41217,-0.13464,0,0,0,0,0,1,1,1,1,,,,,-0.002541
