bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM,Ri_V,Ri_vP,Ri_vQ
153,6169,0,1,2,0,0,0,0,0,0,35,35,30,-8,0,0.15,0,0,0,0,0,1,4,2,0,0,0,0
154,480,0,1,2,0.912543,-5.71727,0.00133,0,0.02736,-0.05536,35,35,30,-18,0,0.18,0,0.912543,0,2.736,-5.536,1,4,2,2,1,0,0
155,6170,0,1,2,0,0,0.00017,0,0.00388,0.0325,35,35,20,-18,0,0.18,0,0,0,0.388,3.25,1,3,2,1,0,0,0
156,458,0,1,2,0.97703,-2.18538,0,0,-0.00163,-0.2545,35,35,38.5,-38,0,0.456,0,0.97703,0,-0.163,-25.45,1,8,2,0,1,0,0
157,721,0,1,2,0.993763,-2.62527,0,0,0,0,35,35,55.05,-41.05,0,0.1,0,0.993763,0,0,0,1,8,1,0,1,0,0
158,6182,0,1,2,0,0,0.00466,0.00075,0.09796,0.01457,35,35,27.37,-27.37,0,0.03,0,0,0,9.796,1.457,1,5,1,2,0,0,0
159,775,0,1,2,0.987067,-3.3201,0.00171,0,0.03421,-0.04328,35,35,24.82,-24.82,0,0.06,0,0.987067,0,3.421,-4.328,1,3,2,2,1,0,0
160,837,0,1,2,0.976395,-4.30813,0,0,0,0,35,35,25,-25,0,0,0,0.976395,0,0,0,1,5,0,0,1,0,0
161,839,0,1,2,0.983533,-7.92359,0,0,0,0,35,35,0,0,0,0.06,0,0.983533,0,0,0,1,5,2,0,1,0,0
162,840,0,1,2,1.00273,-7.93114,0,0,-0.0023,0.02345,35,35,0,0,0,0.06,0,1.00273,0,-0.23,2.345,1,4,2,0,1,0,0
163,857,0,1,2,0.988204,-4.30141,0,0,-0.00022,-0.05799,35,35,0,0,0,0.132,0,0.988204,0,-0.022,-5.799,1,6,1,0,1,0,0
164,855,0,1,2,0.981795,-4.31094,0,0,0.00104,-0.08108,35,35,0,0,0,0,0,0.981795,0,0.104,-8.108,1,6,0,0,1,0,0
165,165_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
166,1595,0,1,1,0.96334,-9.10774,0.06425,0.00982,0,0,35,35,0,0,0,0,0,0.96334,0,2.75,-0.29,1,0,0,2,1,0,0
167,1608,0,1,1,1.02773,-9.64854,0.06205,0.02919,0,0,10,10.5,0,0,0,0.0881,0,1.02773,0,5.64,2.62,1,0,2,5,1,0,0
168,166_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
169,1607,0,1,1,1.01051,-11.22,0.06315,0.03144,0,0,10,10.5,0,0,0,0.0861,0,1.01051,0,6.23,3.2,1,0,2,5,1,0,0
170,167_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
171,1881,0,1,1,0.975925,-4.59627,0.02592,0.00683,0,0,35,35,0,0,0,0,0,0.975925,0,2.36,0.94,1,0,0,2,1,0,0
172,1883,0,1,1,1.04472,-4.94852,0.04756,0.00556,0,0,10,10.5,0,0,0,0.1081,0,1.04472,0,4.48,0.79,1,0,2,4,1,0,0
173,168_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174,6253,0,1,1,0,0,0.00056,-0.00427,0,0,35,35,0,0,0,0,0,0,0,0,-0.05,1,0,0,2,0,0,0
175,1884,0,1,1,1.0368,-4.06936,0.02425,0.0021,0,0,10,10.5,0,0,0,0.1081,0,1.0368,0,2.36,0.61,1,0,2,4,1,0,0
176,169_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
177,2056,0,1,1,0.960338,-9.99252,0.02266,-0.00261,0,0,35,35,0,0,0,0,0,0.960338,0,2.18,-0.04,1,0,0,2,1,0,0
178,2070,0,1,1,1.02609,-10.9183,0.07672,0.01083,0,0,10,10.5,0,0,0,0.036,0,1.02609,0,7.64,1.16,1,0,1,7,1,0,0
179,170_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
180,2069,0,1,1,0.977526,-9.79369,0.02585,0.00476,0,0,10,10.5,0,0,0,0.036,0,0.977526,0,2.25,1.3,1,0,1,2,1,0,0
181,171_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
182,1362,0,1,1,0.959361,-8.08984,0.05487,0.0092,0,0,35,35,0,0,0,0,0,0.959361,0,5.34,0.83,1,0,0,4,1,0,0
183,1368,0,1,1,1.03497,-8.43333,0.03653,0.00783,0,0,10,10.5,0,0,0,0.1102,0,1.03497,0,3.34,0.33,1,0,2,5,1,0,0
184,172_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
185,6205,0,1,1,0,0,0.02139,0.00417,0,0,35,35,0,0,0,0,0,0,0,1.78,0.07,1,0,0,3,0,0,0
186,6207,0,1,1,0,0,0.05914,0.00541,0,0,10,10.5,0,0,0,0.1202,0,0,0,5.59,0.14,1,0,2,5,0,0,0
187,173_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
188,1347,0,1,1,1.01415,-6.9802,0.06248,0.01391,0,0,35,35,0,0,0,0,0,1.01415,0,5.71,0.9,1,0,0,2,1,0,0
189,1353,0,1,1,1.03491,-7.91118,0.11657,0.01247,0,0,10,10.5,0,0,0,0.0601,0,1.03491,0,11.51,0.72,1,0,1,7,1,0,0
190,174_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
191,6202,0,1,1,0,0,0.03996,0.00639,0,0,35,35,0,0,0,0,0,0,0,3.9,0.13,1,0,0,1,0,0,0
192,6203,0,1,1,0,0,0.07668,0.02334,0,0,10,10.5,0,0,0,0.0601,0,0,0,7.51,1.33,1,0,1,5,0,0,0
193,178_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
194,2221,0,1,1,0.967965,-9.70067,0.05314,-0.00671,0,0,35,35,0,0,0,0,0,0.967965,0,5.27,-0.7,1,0,0,2,1,0,0
195,6295,0,1,1,0,0,0.04605,0.01095,0,0,10,10.5,0,0,0,0.108,0,0,0,4.52,1.11,1,0,2,5,0,0,0
196,179_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
197,6293,0,1,1,0,0,0.00043,-0.01987,0,0,35,35,0,0,0,0,0,0,0,0.03,-0.1,1,0,0,3,0,0,0
198,2230,0,1,1,1.02711,-8.74938,0.02406,0.05532,0,0,10,10.5,0,0,0,0.108,0,1.02711,0,2.4,13.22,1,0,2,5,1,0,0
199,182_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
200,1817,0,1,1,1.03365,-7.50909,0.12254,0.04953,0,0,10,10.5,0,0,0,0.1201,0,1.03365,0,11.92,3.17,1,0,2,7,1,0,0
201,183_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
202,6246,0,1,1,0,0,0.08719,0.03692,0,0,10,10.5,0,0,0,0.1201,0,0,0,8.91,2.79,1,0,2,6,0,0,0
203,191_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
204,6216,0,1,1,0,0,0.02657,0.00108,0,0,35,35,0,0,0,0,0,0,0,2.64,0.31,1,0,0,1,0,0,0
205,6217,0,1,1,0,0,0.1653,0.03888,0,0,10,10.5,0,0,0,0.036,0,0,0,16.5,3.71,1,0,1,9,0,0,0
206,1585,0,1,1,1.02944,-5.94093,0.05874,0.00864,0,0,10,10.5,0,0,0,0.06,0,1.02944,0,5.96,0.85,1,0,1,7,1,0,0
207,6222,0,1,1,0,0,0.09625,0.01327,0,0,10,10.5,0,0,0,0.06,0,0,0,9.63,1.21,1,0,1,5,0,0,0
208,1680,0,1,1,1.03322,-6.02092,0.11174,0.01905,0,0,10,10.5,0,0,0,0.084,0,1.03322,0,11.26,1.77,1,0,2,7,1,0,0
209,6231,0,1,1,0,0,0.12129,0.00947,0,0,10,10.5,0,0,0,0.096,0,0,0,11.99,0.67,1,0,2,7,0,0,0
210,205_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
211,1319,0,1,1,1.04241,-8.82991,0.07209,0.02025,0,0,10,10.5,0,0,0,0.401,0,1.04241,0,6.98,1.51,1,0,5,6,1,0,0
212,206_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
213,6200,0,1,1,0,0,0.05104,0.01531,0,0,10,10.5,0,0,0,0.401,0,0,0,4.56,1.07,1,0,5,7,0,0,0
214,207_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
215,6191,0,1,1,0,0,0.1704,0.04082,0,0,10,10.5,0,0,0,0.18,0,0,0,17.1,3.3,1,0,3,13,0,0,0
216,208_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
217,985,0,1,1,1.04382,-6.59671,0.03023,-0.00684,0,0,10,10.5,0,0,0,0.18,0,1.04382,0,2.83,0.48,1,0,3,3,1,0,0
218,209_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
219,6199,0,1,1,0,0,0.03879,0.00857,0,0,35,35,0,0,0,0.2604,0,0,0,3.44,0.49,1,0,3,4,0,0,0
220,211_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
221,1864,0,1,1,0.969373,-9.38321,0.06123,0.02296,0,0,35,35,0,0,0,0,0,0.969373,0,6.38,2.3,1,0,0,1,1,0,0
222,1871,0,1,1,1.04169,-9.76194,0.04241,0.02793,0,0,10,10.5,0,0,0,0.1081,0,1.04169,0,4.63,1.45,1,0,2,5,1,0,0
223,212_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
224,6248,0,1,1,0,0,0.11462,0.00128,0,0,35,35,0,0,0,0,0,0,0,5.54,0.53,1,0,0,2,0,0,0
225,6251,0,1,1,0,0,0.09435,0.03187,0,0,10,10.5,0,0,0,0.096,0,0,0,9.43,2.84,1,0,2,6,0,0,0
226,1944,0,1,1,1.03593,-7.9551,0.09761,0.0409,0,0,10,10.5,0,0,0,0.048,0,1.03593,0,8.71,3.55,1,0,1,6,1,0,0
227,6261,0,1,1,0,0,0.10782,0.03723,0,0,10,10.5,0,0,0,0.048,0,0,0,15.29,5.47,1,0,1,6,0,0,0
228,217_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
229,6196,0,1,1,0,0,0.12614,0.02003,0,0,10,10.5,0,0,0,0.18,0,0,0,11.41,1.3,1,0,3,10,0,0,0
230,218_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
231,1236,0,1,1,1.03503,-4.74447,0.02562,-0.00218,0,0,10,10.5,0,0,0,0.18,0,1.03503,0,0.94,-0.14,1,0,3,6,1,0,0
232,219_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
233,220_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
234,1152,0,1,1,0.976045,-3.20982,0.09861,-0.00139,0,0,35,35,0,0,0,0.501,0,0.976045,0,10.29,0.62,1,0,5,5,1,0,0
235,224_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
236,1286,0,1,1,0.99013,-4.41711,0.05228,0.01404,0,0,35,35,0,0,0,0.2384,0,0.99013,0,6.87,1.99,1,0,3,4,1,0,0
237,239_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
238,2312,0,1,1,0.973514,-3.8939,0.05326,-0.00705,0,0,35,35,0,0,0,0.2406,0,0.973514,0,5.08,1.28,1,0,3,2,1,0,0
239,240_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
240,6301,0,1,1,0,0,0.02841,-0.02561,0,0,35,35,0,0,0,0.2406,0,0,0,2.53,-0.5,1,0,3,2,0,0,0
241,241_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
242,6302,0,1,1,0,0,4.00E-05,-0.00136,0,0,35,35,0,0,0,0.3208,0,0,0,0,-0.08,1,0,4,2,0,0,0
243,242_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
244,2334,0,1,1,0.958356,-7.34721,0.06753,0.00871,0,0,35,35,0,0,0,0.3208,0,0.958356,0,6.73,0.98,1,0,4,2,1,0,0
245,245_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
246,6190,0,1,1,0,0,0.01512,-0.00825,0,0,10,10.5,0,0,0,0.2802,0,0,0,2.45,0.41,1,0,4,5,0,0,0
247,246_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
248,962,0,1,1,1.0305,-7.36925,0.05735,0.00556,0,0,10,10.5,0,0,0,0.1962,0,1.0305,0,5.91,1.01,1,0,4,8,1,0,0
249,254_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
250,2485,0,1,1,0.964623,-5.1048,0.00588,-0.01367,0,0,35,35,0,0,0,0,0,0.964623,0,0,-0.04,1,0,0,1,1,0,0
251,2497,0,1,1,1.02996,-5.78135,0.0543,0.01548,0,0,10,10.5,0,0,0,0.0661,0,1.02996,0,4.97,2.19,1,0,2,5,1,0,0
252,257_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
253,258_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
254,2756,0,1,1,0.977574,-4.45329,0.03613,-0.0042,0,0,35,35,0,0,0,0,0,0.977574,0,3.5,0,1,0,0,3,1,0,0
255,2759,0,1,1,1.04654,-4.64581,0.02192,0.0067,0,0,10,10.5,0,0,0,0.096,0,1.04654,0,2.14,0.54,1,0,2,5,1,0,0
256,259_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
257,6317,0,1,1,0,0,0.02685,-0.0003,0,0,35,35,0,0,0,0,0,0,0,2.57,0,1,0,0,3,0,0,0
258,6318,0,1,1,0,0,0.03846,0.0118,0,0,10,10.5,0,0,0,0.096,0,0,0,3.7,1.01,1,0,2,4,0,0,0
259,6327,0,1,1,0,0,-0.00079,-0.00183,0,0,10,10.5,0,0,0,0.096,0,0,0,3.43,0.51,1,0,2,8,0,0,0
260,2867,0,1,1,1.03299,-5.44783,0.04794,0.00434,0,0,10,10.5,0,0,0,0.096,0,1.03299,0,4.72,0.52,1,0,2,5,1,0,0
261,274_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
262,3007,0,1,1,1.02445,-4.33143,0.03253,-0.00822,0,0,10,10.5,0,0,0,0.225,0,1.02445,0,2.83,0.49,1,0,3,4,1,0,0
263,275_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
264,6335,0,1,1,0,0,0.01037,-0.00744,0,0,10,10.5,0,0,0,0.225,0,0,0,0.71,0.02,1,0,3,4,0,0,0
265,3022,0,1,1,0.972387,-2.73123,-0.00488,-0.00711,0,0,35,35,0,0,0,0.1604,0,0.972387,0,0,0,1,0,2,1,1,0,0
266,280_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
267,2242,0,1,1,0.963091,-9.34581,0.04543,0.0029,0,0,35,35,0,0,0,0,0,0.963091,0,4.43,0.24,1,0,0,2,1,0,0
268,2245,0,1,1,1.042,-9.49244,0.00705,0.00533,0,0,10,10.5,0,0,0,0.084,0,1.042,0,0.69,0.02,1,0,2,4,1,0,0
269,281_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
270,6297,0,1,1,0,0,0.02676,0.00696,0,0,35,35,0,0,0,0,0,0,0,2.73,1.05,1,0,0,2,0,0,0
271,6298,0,1,1,0,0,0.00139,-0.00215,0,0,10,10.5,0,0,0,0.084,0,0,0,0.16,0.11,1,0,2,4,0,0,0
272,282_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
