ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
37,27,1,1,1,0,0.00585,0.04027,0.07161,0,0,0,0,0,0,0,0,0,0,0,0,3.14066,0.353187,-3.09308,-0.111892,1,1,1,1
37,40,1,1,1,0,0.00036,0.02519,0,0,0,0,0,0,1.0686,0,0,0,0,0,0,0.978791,-0.363915,-0.978427,0.389373,1,1,1,1
37,107,1,1,1,0,0.00919,0.06614,0.10451,0,0,0,0,0,0,0,0,0,0,0,0,1.46526,-0.0437029,-1.44925,0.0313557,1,1,1,1
37,6042,1,1,1,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00455242,1221,0.00455242,-1100,1,1,1,1
37,8425,1,1,1,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00297252,122.1,0.00297252,-110,1,1,1,1
38,32,1,1,1,0,0.00399,0.02901,0.04808,0,0,0,0,0,0,0,0,0,0,0,0,3.11154,0.623327,-3.07881,-0.443232,1,1,1,1
38,41,1,1,1,0,0.00036,0.02519,0,0,0,0,0,0,1.0867,0,0,0,0,0,0,1.30229,-1.05485,-1.30132,1.12267,1,1,1,1
38,108,1,1,1,0,0.00822,0.05767,0.0982,0,0,0,0,0,0,0,0,0,0,0,0,1.85644,-0.0527554,-1.83345,0.0941542,1,1,1,1
39,2,1,1,1,0,0.0012,0.0089,0.01513,0,0,0,0,0,0,0,0,0,0,0,0,0.705592,0.162771,-0.705079,-0.177567,1,1,1,1
39,26,1,1,1,0,0.00585,0.04027,0.07161,0,0,0,0,0,0,0,0,0,0,0,0,3.37743,0.347539,-3.32254,-0.0559411,1,1,1,1
39,38,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.584279,0.0556752,0.584284,-0.0556165,1,1,1,1
40,34,1,1,1,0,0.00358,0.04122,1.1338,0,0,0,0,0,0,0,0,0,0,0,0,6.8413,0.401957,-6.68517,0.184902,1,1,1,1
40,141,1,1,1,0,0.00234,0.02677,0.74653,0,0,0,0,0,0,0,0,0,0,0,0,4.16691,-0.657633,-4.12975,0.261653,1,1,1,1
41,40,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27313,-0.212142,-1.27312,0.212233,1,1,1,1
41,110,1,1,1,0,0.00137,0.01569,0.43744,0,0,0,0,0,0,0,0,0,0,0,0,2.34123,-0.116525,-2.33437,-0.282882,1,1,1,1
43,14,1,1,1,0,0.00525,0.03847,0.06053,0,0,0,0,0,0,0,0,0,0,0,0,-0.730798,-0.243283,0.733646,0.198863,1,1,1,1
43,42,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33867,-0.453469,0.338676,0.453532,1,1,1,1
44,41,1,1,1,0,0.00076,0.00868,0.24096,0,0,0,0,0,0,0,0,0,0,0,0,-4.60889,0.601377,4.62392,-0.694645,1,1,1,1
45,44,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14095,-0.0635928,1.14096,0.063664,1,1,1,1
46,14,1,1,1,0,0.00089,0.0063,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,-1.20627,-0.439797,1.20762,0.437612,1,1,1,1
47,7,1,1,1,0,0.00494,0.0269,0.04225,0,0,0,0,0,0,0,0,0,0,0,0,-1.84687,-0.24965,1.8621,0.284384,1,1,1,1
48,47,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.67825,0.246902,1.6783,-0.246364,1,1,1,1
51,70,1,1,1,0,0.00329,0.02506,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,-1.0499,-0.085622,1.05289,0.0546666,1,1,1,1
52,50,1,1,1,0,0.00789,0.05868,0.08985,0,0,0,0,0,0,0,0,0,0,0,0,0.614638,0.106666,-0.612022,-0.19542,1,1,1,1
52,51,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.477094,-0.0918801,0.477098,0.0919208,1,1,1,1
54,108,1,1,1,0,0.01116,0.07171,0.10367,0,0,0,0,0,0,0,0,0,0,0,0,-1.69183,0.283478,1.71936,-0.232011,1,1,1,1
55,54,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319346,0.376599,-0.0319322,-0.376574,1,1,1,1
55,56,1,1,1,0,0.00034,0.02097,0,0,0,0,0,0,1.0755,0,0,0,0,0,0,0.13872,-0.665809,-0.138569,0.675087,1,1,1,1
55,126,1,1,1,0,0.01488,0.08161,0.1148,0,0,0,0,0,0,0,0,0,0,0,0,-1.23145,0.259357,1.25144,-0.288091,1,1,1,1
56,72,1,1,1,0,0.00218,0.02536,0.68579,0,0,0,0,0,0,0,0,0,0,0,0,0.138565,-0.675087,-0.138335,-0.0635421,1,1,1,1
58,30,1,1,1,0,0.01174,0.07014,0.12689,0,0,0,0,0,0,0,0,0,0,0,0,2.21805,0.608236,-2.16592,-0.442831,1,1,1,1
58,57,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0745444,0.00709996,0.0745445,-0.00709899,1,1,1,1
59,16,1,1,1,0,0.01347,0.07316,0.13418,0,0,0,0,0,0,0,0,0,0,0,0,2.21508,0.51009,-2.15675,-0.347906,1,1,1,1
59,57,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538866,0.00513231,0.0538866,-0.00513181,1,1,1,1
59,61,1,1,1,0,0.00034,0.02097,0,0,0,0,0,0,1.0596,0,0,0,0,0,0,-1.76334,-0.450894,1.76438,0.515153,1,1,1,1
60,12,1,1,1,0,0.0015,0.01506,0.4032,0,0,0,0,0,0,0,0,0,0,0,0,5.76214,1.01482,-5.71489,-0.975363,1,1,1,1
61,60,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03838,-0.33961,-2.03834,0.339842,1,1,1,1
62,54,1,1,1,0,0.00242,0.01531,0.02249,0,0,0,0,0,0,0,0,0,0,0,0,-1.03733,-0.229771,1.0396,0.217071,1,1,1,1
63,139,1,1,1,0,0.00144,0.01446,0.51213,0,0,0,0,0,0,0,0,0,0,0,0,-3.31169,-0.0865819,3.32621,-0.328394,1,1,1,1
64,63,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345207,0.0203315,0.345208,-0.020325,1,1,1,1
64,81,1,1,1,0,0.00119,0.01428,0.36666,0,0,0,0,0,0,0,0,0,0,0,0,-3.18807,-0.241062,3.19915,-0.0282691,1,1,1,1
65,61,1,1,1,0,0.0017,0.01977,0.53386,0,0,0,0,0,0,0,0,0,0,0,0,-1.53239,-0.259131,1.53603,-0.285883,1,1,1,1
66,49,1,1,1,0,0.0107,0.06628,0.10825,0,0,0,0,0,0,0,0,0,0,0,0,-0.123129,-0.279574,0.123701,0.155505,1,1,1,1
67,53,1,1,1,0,0.007,0.05138,0.08084,0,0,0,0,0,0,0,0,0,0,0,0,0.675251,-0.00122128,-0.672493,-0.0720297,1,1,1,1
67,66,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489707,-0.0883803,-0.489703,0.088425,1,1,1,1
68,60,1,1,1,0,0.00184,0.02139,0.5777,0,0,0,0,0,0,0,0,0,0,0,0,-1.36186,-0.391767,1.36499,-0.206141,1,1,1,1
69,68,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.931198,-0.104877,0.931206,0.104926,1,1,1,1
70,72,1,1,1,0,0.00081,0.03,0,0,0,0,0,0,1.0876,0,0,0,0,0,0,0.191431,-0.82578,-0.190871,0.846535,1,1,1,1
71,52,1,1,1,0,0.00558,0.04062,0.06491,0,0,0,0,0,0,0,0,0,0,0,0,0.65101,0.00708629,-0.649075,-0.0724052,1,1,1,1
71,70,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156573,0.0149139,0.156573,-0.0149096,1,1,1,1
73,69,1,1,1,0,0.00116,0.013,0.33856,0,0,0,0,0,0,0,0,0,0,0,0,0.2793,-0.39882,-0.279168,0.0309497,1,1,1,1
73,72,1,1,1,0,1.00E-05,6.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269198,0.0448684,0.269199,-0.0448643,1,1,1,1
74,57,1,1,1,0,0.00543,0.03733,0.06668,0,0,0,0,0,0,0,0,0,0,0,0,-0.569353,-0.0436616,0.570811,-0.0270167,1,1,1,1
75,49,1,1,1,0,0.00657,0.0481,0.0727,0,0,0,0,0,0,0,0,0,0,0,0,0.464859,0.0246691,-0.463657,-0.103164,1,1,1,1
75,59,1,1,1,0,0.00543,0.03733,0.06668,0,0,0,0,0,0,0,0,0,0,0,0,-0.570079,-0.0440944,0.571541,-0.0265565,1,1,1,1
75,74,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181093,-0.0810752,0.181094,0.081082,1,1,1,1
76,71,1,1,1,0,0.00905,0.06723,0.10296,0,0,0,0,0,0,0,0,0,0,0,0,-0.295141,-0.211924,0.295966,0.0928947,1,1,1,1
77,55,1,1,1,0,0.00246,0.01826,0.02798,0,0,0,0,0,0,0,0,0,0,0,0,-1.0585,-0.0465704,1.06079,0.0298539,1,1,1,1
77,76,1,1,1,0,2.00E-05,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378304,-0.030204,-0.378302,0.0302292,1,1,1,1
78,54,1,1,1,0,0.01219,0.0637,0.09333,0,0,0,0,0,0,0,0,0,0,0,0,-0.647529,0.0440474,0.651874,-0.133975,1,1,1,1
