tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit,ioff,joff
35,36,1,1,1,0,0.003371,0.021119,0.032756,0,0,0,0,0,0,0,0,0,0,0,0,-0.86206,0.19433,0.86474,-0.24314,1563.599976,0,0
37,34,1,1,1,0,0.001321,0.009384,0.012474,0,0,0,0,0,0,0,0,0,0,0,0,-1.07796,0.1556,1.07958,-0.16831,1563.599976,0,0
38,34,1,1,1,0,0.000979,0.00966,0.013727,0,0,0,0,0,0,0,0,0,0,0,0,-1.02656,-0.31936,1.02773,0.30433,1820.800049,0,0
38,34,1,1,1,0,0.001301,0.00966,0.012285,0,0,0,0,0,0,0,0,0,0,0,0,-1.03205,-0.28308,1.03358,0.27075,1563.599976,0,0
39,40,1,1,1,0,0.001396,0.020366,1.115229,0,0,0,0,0,0,0,0,0,0,0,0,-0.35849,0.582,0.35867,0.64649,3641.600098,0,0
41,40,1,1,1,0,0.000241,0.003617,0.202708,0,0,0,0,0,0,0,0,0,0,0,0,-2.86319,0.06415,2.86515,-0.44711,3641.600098,0,0
42,43,1,1,1,0,0.004141,0.021017,0.020353,0,0,0,0,0,0,0,0,0,0,0,0,1.71686,-0.25299,-1.70443,0.27536,910.400024,0,0
44,43,1,1,1,0,0.003604,0.018745,0.017711,0,0,0,0,0,0,0,0,0,0,0,0,0.51991,-0.08556,-0.51892,0.05536,910.400024,0,0
44,45,1,1,1,0,0.008034,0.03782,0.036698,0,0,0,0,0,0,0,0,0,0,0,0,1.8335,-0.17774,-1.8063,0.23299,910.400024,0,0
46,47,1,1,1,0,0.020236,0.092942,0.085604,0,0,0,0,0,0,0,0,0,0,0,0,-1.91805,0.44102,1.99968,-0.23537,781.80603,0,0
48,42,1,1,1,0,0.0101,0.040208,0.036321,0,0,0,0,0,0,0,0,0,0,0,0,-0.50363,0.0634,0.5063,-0.12538,781.80603,0,0
49,44,1,1,1,0,0.010392,0.03908,0.03737,0,0,0,0,0,0,0,0,0,0,0,0,0.14793,-0.10476,-0.14766,0.03123,781.80603,0,0
50,51,1,1,1,0,0.000455,0.003124,0.015399,0,0,0,0,0,0,0,0,0,0,0,0,-0.09011,0.10783,0.09012,-0.13847,1563.612061,0,0
50,51,1,1,1,0,0.000448,0.00313,0.004819,0,0,0,0,0,0,0,0,0,0,0,0,-0.09028,0.11795,0.09029,-0.12749,1563.612061,0,0
17,52,1,1,1,0,0.000024,0.000298,0.019028,0,0,0,0,0,0,0,0,0,0,0,0,-0.94471,0.26653,0.94473,-0.30455,3641.600098,0,0
17,52,1,1,1,0,0.000028,0.000335,0.021941,0,0,0,0,0,0,0,0,0,0,0,0,-0.83795,0.23611,0.83797,-0.28003,3641.600098,0,0
53,54,1,1,1,0,0.004122,0.026788,0.048756,0,0,0,0,0,0,0,0,0,0,0,0,-0.33854,0.01526,0.33902,-0.1105,1563.612061,0,0
55,56,1,1,1,0,0.002137,0.011593,0.016165,0,0,0,0,0,0,0,0,0,0,0,0,-0.08199,-0.12131,0.08202,0.08981,910.400024,0,0
57,58,1,1,1,0,0.000881,0.008068,0.015955,0,0,0,0,0,0,0,0,0,0,0,0,1.11607,-0.23476,-1.11494,0.21298,2091.600098,0,0
57,58,1,1,1,0,0.000879,0.008068,0.015955,0,0,0,0,0,0,0,0,0,0,0,0,1.11617,-0.23446,-1.11504,0.21267,2091.600098,0,0
59,57,1,1,1,0,0.002396,0.011389,0.016611,0,0,0,0,0,0,0,0,0,0,0,0,-0.76362,-0.04843,0.76502,0.02169,1563.599976,0,0
60,61,1,1,1,0,0.001146,0.007071,0.006445,0,0,0,0,0,0,0,0,0,0,0,0,0.45264,-0.10792,-0.45239,0.09635,910.400024,0,0
62,63,1,1,1,0,0.007029,0.036024,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,0.62055,-0.04848,-0.61785,-0.01034,910.400024,0,0
62,63,1,1,1,0,0.006935,0.037856,0.034084,0,0,0,0,0,0,0,0,0,0,0,0,0.59189,-0.03888,-0.58947,-0.01611,910.400024,0,0
64,65,1,1,1,0,0.004953,0.03051,0.036551,0,0,0,0,0,0,0,0,0,0,0,0,-0.37544,-0.07572,0.37616,0.00741,910.400024,0,0
60,66,1,1,1,0,0.001863,0.009879,0.010743,0,0,0,0,0,0,0,0,0,0,0,0,0.11648,-0.04267,-0.11645,0.02103,910.400024,0,0
60,32,1,1,1,0,0.003025,0.01535,0.014865,0,0,0,0,0,0,0,0,0,0,0,0,-0.05537,-0.14073,0.05543,0.11082,910.400024,0,0
57,67,1,1,1,0,0.002535,0.013792,0.144349,0,0,0,0,0,0,0,0,0,0,0,0,0.52502,-0.70629,-0.52354,0.42187,1563.599976,0,0
67,57,1,1,1,0,0.002247,0.019244,0.143443,0,0,0,0,0,0,0,0,0,0,0,0,-0.40508,0.23992,0.40577,-0.52468,1820.800049,0,0
64,68,1,1,1,0,0.001629,0.009476,0.01671,0,0,0,0,0,0,0,0,0,0,0,0,-0.26732,-0.04103,0.26744,0.00857,1563.612061,0,0
69,64,1,1,1,0,0.00287,0.016662,0.029152,0,0,0,0,0,0,0,0,0,0,0,0,0.58192,-0.48513,-0.58031,0.43699,1563.612061,0,0
35,70,1,1,1,0,0.003701,0.020509,0.020904,0,0,0,0,0,0,0,0,0,0,0,0,-0.54868,-0.14043,0.54985,0.10478,910.400024,0,0
71,43,1,1,1,0,0.002791,0.015578,0.055419,0,0,0,0,0,0,0,0,0,0,0,0,-0.54328,0.30433,0.54446,-0.40878,910.400024,0,0
71,43,1,1,1,0,0.003399,0.016713,0.029034,0,0,0,0,0,0,0,0,0,0,0,0,-0.4962,0.31662,0.49743,-0.3687,1563.612061,0,0
72,73,1,1,1,0,0.025662,0.142949,0.128473,0,0,0,0,0,0,0,0,0,0,0,0,-0.83944,0.02321,0.85821,-0.17624,910.400024,0,0
74,72,1,1,1,0,0.002427,0.019021,0.034347,0,0,0,0,0,0,0,0,0,0,0,0,0.00527,0.05691,-0.00524,-0.12521,1820.800049,0,0
