bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3881,470_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3882,5257,0,1,1,0.919808,-9.98661,0.0078,-0.00537,0,0,35,35,0,0,0,-1.2,0,34.493,0,0.04,0.02,1,0,2,1
3883,471_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3884,5258,0,1,1,0.942342,-9.99091,0.00381,-0.00465,0,0,35,35,0,0,0,-1.2,0,35.338,0,0.03,0.02,1,0,2,1
3885,474_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3886,5580,0,1,2,0.940063,-3.82965,0,0,0.13734,0.01394,10,10.5,3.88,-3.88,0,0,0,9.871,0,13.734,1.394,1,1,0,0
3887,5581,0,1,2,0.969316,-5.4755,0,0,0.10502,0.00758,10,10.5,3.88,-3.88,0,0,0,10.178,0,10.502,0.758,1,1,0,0
3888,5584,0,1,2,0.93725,-2.52827,0,0,0.11276,-0.01048,10,10.5,4.24,-4.24,0,0,0,9.841,0,11.276,-1.048,1,1,0,0
3889,5585,0,1,2,0.937261,-2.52712,0,0,0.11651,-0.00894,10,10.5,4.24,-4.24,0,0,0,9.841,0,11.651,-0.894,1,1,0,0
3890,5684,0,1,2,1.04869,-7.94341,0,0,0.01871,0.00447,6,6,10.5,-10.5,0,0,0,6.607,0,1.871,0.447,1,2,0,0
3891,485_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3892,5689,0,1,1,0.9424,-1.12348,-0.00096,0.00487,0,0,35,35,0,0,0,0,0,0,0,0,0,1,0,0,1
3893,5690,0,1,2,0.961696,-0.773042,0,0,0.0821,0.00211,10,10.5,12.4,-12.4,0,0,0,10.098,0,8.21,0.211,1,2,0,0
3894,5726,0,1,2,0.992351,-17.7197,0,0,0,0,10,10.5,18,0,0,0,0,10.42,0,0,0,2,2,0,0
3895,499_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3896,5727,0,1,2,1.00924,-14.7789,0.01352,0.00618,0.24023,0.087,10,10.5,15.5,0,0,0,0,10.597,0,24.023,8.7,1,1,0,1
3897,5741,0,1,2,1.00927,-9.1666,0,0,0.08701,0.01573,10,10.5,18,-18,0,0,0,10.597,0,8.701,1.573,1,2,0,0
3898,5750,0,1,2,1.01438,-7.31505,0,0,0.0505,0.0148,10,10.5,10.5,-10.5,0,0,0,10.651,0,5.05,1.48,1,1,0,0
3899,5751,0,1,2,1.01694,-6.80064,0,0,0.11174,0.03274,10,10.5,12,-12,0,0,0,10.678,0,11.174,3.274,1,2,0,0
3900,5789,0,1,2,1.01759,-8.81013,0,0,0.20927,0.07348,10,10.5,30.98,-30.98,0,0,0,10.685,0,20.927,7.348,1,2,0,0
