tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
3,21,莆田.石新Ⅱ路,1,1,0,0.001352,0.006550,0.003406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.150002,11.520000,-89.309998,-14.740000,0.000000
28,3,莆田.上石Ⅰ路,1,1,0,0.000915,0.006321,0.003730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.049999,0.000000,-53.049999,-4.470000,0.000000
28,3,莆田.上石Ⅱ路,1,1,0,0.000832,0.006238,0.003590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.930000,0.000000,-54.730000,-5.030000,0.000000
3,4,莆田.石进Ⅱ路,1,1,0,0.001560,0.007798,0.003786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.290001,0.000000,-75.839996,-3.480000,0.000000
15,14,莆田.莆惠Ⅰ路,1,1,0,0.001610,0.012000,0.002796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,14,莆田.莆惠Ⅲ路,1,1,0,0.001900,0.011760,0.004889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.369999,1.940000,-53.740002,-6.700000,0.000000
15,29,莆田.湄莆线,1,1,0,0.002040,0.025920,0.017532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.959999,-18.010000,99.629997,7.800000,0.000000
15,14,莆田.莆惠Ⅱ路,1,1,0,0.001960,0.012420,0.004889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.970001,2.200000,-54.049999,-6.110000,0.000000
26,27,莆田.上埭Ⅰ路,1,1,0,0.011964,0.047856,0.000055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-37.389999,0.000000,37.610001,0.280000,0.000000
26,30,莆田.上沁线,1,1,0,0.005692,0.022767,0.000024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.840000,2.080000,-7.910000,-2.350000,0.000000
